ID,AverageMass,AreaInSquaredPixels,Roundness,hu0,hu1,hu2,hu3,hu4,hu5,hu6,meanB,meanG,meanR
21,6.9924,17784.0,0.7531,3.077730237940919,8.909259693417228,11.944053848909922,11.944053848909922,25.357529091163563,17.910822589926887,25.327581896084716,198.893785686568,199.6781418038694,182.3057819169577
22,6.9847,17844.0,0.7737,2.4890047684135777,7.233462442753135,9.826463702966441,9.826463702966441,20.5281788726177,14.155822040432358,20.188483408371596,54.97014760351595,54.61269279672729,44.81690530156448
23,6.983,17824.5,0.8063,2.388341823613972,6.587880790704925,9.249014564645176,9.249014564645176,20.887120131492466,14.292015463291788,21.358331371573353,45.10071942446043,45.59911455451024,35.62711676812396
24,6.9821,17287.5,0.7483,2.400868250171342,6.743718730854538,9.251103188040542,9.251103188040542,20.691517238982154,-14.064053690770265,20.549991717634366,47.22462941847206,45.96442417331813,35.89515393386545
25,6.9839,17164.0,0.7635,2.509001268454603,7.052719875482602,10.086986466727407,10.086986466727407,-21.384699626865082,14.889579479601515,-21.744515257973514,59.88144063415475,58.114251249353785,44.982997300247
26,6.9841,14675.5,0.8039,2.4343541541237146,6.472751049642323,9.313716112405984,9.313716112405984,20.27407298097488,-13.402035612958075,-19.948710180499294,52.739445600375866,51.87240754413048,39.673669373783476
27,6.9815,14762.0,0.7448,2.4876838023956904,6.949047167855594,9.528729636726231,9.528729636726231,-20.222433127743503,13.750191974395136,20.032116994369925,58.73904634878293,56.99833277759253,44.5675891963988
28,5.8793,15341.5,0.8187,2.4709297183279206,6.840833420498153,9.84137805297207,9.84137805297207,21.649327442109048,14.0293941551437,20.839279872741347,55.64959516771623,54.1580131088549,41.38876751060275
29,5.8731,15020.5,0.7621,2.3528956576905204,6.5974526051270574,8.935521597223284,8.935521597223284,-19.517577409607313,13.473933157772088,-19.423625440756833,41.916863362182006,42.93987673747705,33.88781799108314
30,5.8879,16184.0,0.7584,2.4437473392311237,6.662325106570467,9.591397214173286,9.591397214173286,-20.946851333071454,14.372379468464361,21.265158096460205,54.621842089243316,52.371157241127406,40.82480063310403
32,5.8775,11142.0,0.8605,2.3790609537765928,6.044345415838707,9.081660249468746,9.081660249468746,18.92065327754397,12.792212179474475,19.147714870935413,46.44563201130642,45.83932514795513,36.36207048847275
33,5.5909,11399.0,0.8206,2.4516102126725454,6.6289971202098625,9.356714950684605,9.356714950684605,-19.79472804827869,-14.143176955533727,20.19272832532596,52.367644521138914,51.50914581535807,40.445125107851595
34,5.5964,20316.0,0.7326,2.4616842179341636,6.7146685417881375,9.168489750779385,9.168489750779385,19.930412503213393,13.76747039555777,20.6134380877045,50.595367582791106,50.67582791104205,40.26575701660678
35,5.5926,20238.5,0.7255,2.4730792320373287,6.599229405117525,9.026800307161983,9.026800307161983,19.446150848393913,13.274028499461128,19.681534644746577,51.6879812847256,51.8863436982162,41.25665269519446
36,5.5867,20060.0,0.7662,2.3465258044239903,6.062249675128022,8.948820889892582,8.948820889892582,19.145022575618473,-12.765871181289436,19.35081452402473,41.75986227250369,42.56645351696999,34.19252336448598
37,5.5852,16101.0,0.7388,2.450314275390652,6.601286587648169,9.143783090660444,9.143783090660444,20.471906917303365,13.413584567069384,19.73791506302165,49.89740609323382,50.14976140951915,40.15447204208981
38,5.5874,16176.5,0.77,2.3589266344342494,6.4654152247016485,9.191392398475644,9.191392398475644,-20.413917728967295,13.450551239938443,19.94457983785585,40.88026067360984,41.86338997502893,34.90236920640721
39,5.587,15844.0,0.7404,2.4132422059827925,6.594660306863237,9.17906393404242,9.17906393404242,20.71070026404527,14.499752853859643,-20.805360358253516,47.315622669649514,47.20140442455878,36.57283122048222
40,5.5944,15439.0,0.7723,2.360587752952117,6.6213940155199476,8.906227304592928,8.906227304592928,21.455013265601515,-14.53956130609091,21.323509968484583,43.480260220677344,44.052044135467824,34.985713374577465
41,5.5903,14733.0,0.8081,2.3386988146439758,6.204356449765032,8.73496552997231,8.73496552997231,-19.596660668046045,13.03398214627256,19.191155300490628,40.91613722998729,41.66341202434294,34.41275998127466
42,5.5967,14678.5,0.7156,2.4362607494985724,6.763244097723404,9.149889389334032,9.149889389334032,19.121978991968636,13.27418911985961,-19.26773941727044,48.89839142091153,49.04209115281502,39.28686327077748
43,5.4506,14782.5,0.758,2.347777860414642,6.252225827286249,9.091760410891846,9.091760410891846,-19.499739208116285,12.937892985133459,19.149566719328924,41.86752364459838,42.865059278007195,35.140202477687495
