ID,AverageMass,AreaInSquaredPixels,Roundness,hu0,hu1,hu2,hu3,hu4,hu5,hu6,meanB,meanG,meanR
1,4.8566,18556.5,0.9417,2.670024747002966,7.07336037357742,9.858511590738193,9.858511590738193,21.667745388465477,14.867344672262153,21.564556500042638,31.29503221340717,45.71449869549012,158.17475107821735
2,4.8568,18828.5,0.9421,2.6459069400743274,6.934238907703851,9.92113747782813,9.92113747782813,-20.820325459311057,14.238437739841975,-20.610714212021914,28.586926870212988,41.60040919106075,152.47523869478545
3,4.8654,18750.0,0.941,2.660805841579146,6.79044428657861,10.223233034111338,10.223233034111338,-21.221417530983064,-16.368773664099013,-20.903407441923754,30.64735012116742,44.54477926456643,156.6677905384048
4,4.8691,18668.5,0.9436,2.6733393459109,7.02874366754763,10.212019603637295,10.212019603637295,-21.046746680607765,13.98135750417875,20.893016656043116,31.90877824223504,46.151013281125984,159.1468860786285
5,4.8689,18690.0,0.9416,2.654287558994351,7.138387547685933,9.57549017192206,9.57549017192206,-21.65919638011863,-14.956343248810837,-22.678581673186,29.163855549093217,43.57727489028711,154.94723206260244
6,4.8591,22683.5,0.8674,2.625426614343656,6.85047032327841,8.739674052927198,8.739674052927198,19.25586537620649,13.300234691908951,-19.393045777804474,32.08546151834743,42.168874749411664,150.97167262267934
7,4.8404,23160.5,0.899,2.6308912232915835,7.084942596190626,8.955768176047437,8.955768176047437,20.586718185628264,13.715103825987203,-19.677530841206636,30.80918833525469,41.72802186072329,151.9757055633833
8,4.8484,21709.0,0.8947,2.673620642689851,6.694944125221786,9.270675722744679,9.270675722744679,19.986002387937376,13.72994128164808,-20.420242608078627,33.00609894861408,48.21696782121888,163.87679213508716
9,4.8533,23007.5,0.902,2.6861372447578975,7.259528722559803,9.036989450553136,9.036989450553136,20.738664177042253,14.09163161506077,-20.070610605104175,31.41298087255534,46.969396088545025,168.8460777992693
10,4.8607,21714.5,0.8992,2.623205003873472,6.475469444185111,9.078109628629486,9.078109628629486,19.246686833824924,13.023102444390297,-19.505021539690933,31.620892125625854,42.5513882567137,151.77724169321803
11,5.3319,20529.0,0.9617,2.66161709549518,7.67598299734289,10.983580680940092,10.983580680940092,21.226534045539744,15.395777243674283,21.60305537805002,35.511177490846016,48.042493736750814,143.6899691655425
12,5.3296,20502.5,0.9617,2.665585711366125,8.134567493300224,10.489370436216728,10.489370436216728,-21.595614397371765,14.887881311693349,20.582513950025234,36.357834867691714,49.59010941340917,145.61204029498242
13,5.3455,20359.5,0.956,2.6492868836361705,7.476424600134266,13.001179341640672,13.001179341640672,24.11317187439735,-14.761578396894521,-22.785724266798148,34.90735165582208,46.736233854520734,141.2289016218316
14,5.3238,20002.0,0.9526,2.6577256201331783,8.04664846978176,11.438184778216925,11.438184778216925,22.482413647503357,15.87801708607743,22.517343156392783,35.150528603892894,47.202697361920755,143.22364390870467
15,5.3381,24209.5,0.8928,2.6537929874870407,6.619054286102403,9.024286322274358,9.024286322274358,20.425976983979957,13.924651865758383,21.567005898134394,33.30732464561461,45.91801135667307,157.88917030924466
16,5.3361,25881.5,0.906,2.6515347627869836,6.60965334777833,8.960743297158412,8.960743297158412,-20.477472552472292,-14.531994866632644,21.72573833736583,33.19284894837476,44.97131931166348,158.18099426386235
17,5.3594,23007.5,0.8942,2.6147153921969406,6.381826698546462,8.942063621473103,8.942063621473103,-20.263015339869078,-14.065401755143284,19.98900572735092,34.47300550206327,42.992649587345255,145.58326169188445
18,5.3643,23591.5,0.8799,2.598987125957682,6.780287955622255,8.802252432335353,8.802252432335353,20.86409096932845,13.898244157056759,19.826852464881874,30.736575141479772,39.48019283169147,142.45172919723328
