ID,AverageMass,AreaInSquaredPixels,Roundness
21,10.2444,17387.0,0.9776
22,10.2427,17131.5,0.9693
23,10.2425,16717.5,0.9617
24,10.1629,16298.0,0.9655
25,10.1636,16244.5,0.969
26,9.7124,13869.5,0.9589
27,9.7125,14206.0,0.9736
28,9.8781,14507.5,0.9579
29,9.8802,14318.0,0.9673
30,9.9806,15436.5,0.9667
32,9.1594,10478.5,0.964
33,9.1617,10665.5,0.9522
34,10.8762,19378.5,0.9692
35,10.8735,19368.5,0.964
36,10.8766,18898.0,0.9652
37,9.9834,15623.0,0.9719
38,9.9846,15346.0,0.9647
39,9.9304,15055.5,0.9644
40,9.9257,14602.0,0.9612
41,9.6898,13760.0,0.9559
42,9.6972,13906.0,0.9685
43,9.7016,13959.5,0.9646
44,11.9737,24488.0,0.966
45,11.9794,24416.0,0.9612
46,8.7405,8438.5,0.9592
47,8.7423,8634.0,0.9603
48,9.1772,11032.5,0.9758
49,9.1813,10603.0,0.9738
50,9.4972,12920.0,0.9639
51,9.495,13188.0,0.97
52,11.0753,20177.0,0.9597
53,11.0766,20651.5,0.9668
54,10.27,16345.0,0.9589
55,10.2695,16420.0,0.9621
56,11.5706,22648.0,0.9665
57,11.5745,22526.0,0.9623
59,8.7329,8448.5,0.9724
60,8.7356,7679.5,0.9589
61,10.2567,16196.0,0.9662
62,10.2568,16042.0,0.9574
63,10.213,16260.0,0.959
64,10.2143,16491.0,0.9671
65,12.3145,25131.0,0.9568
67,8.9281,9228.0,0.9583
68,8.9272,9125.5,0.9509
70,9.6905,13930.0,0.9642
71,9.6184,13705.0,0.9687
72,9.6184,13603.5,0.9621
73,10.6453,17733.0,0.9581
74,10.6412,18276.0,0.9694
75,8.8254,8485.5,0.9586
76,8.8253,8220.0,0.9624
77,9.9625,15292.5,0.9592
78,9.962,14847.0,0.9416
79,9.4596,12539.0,0.9604
80,9.4601,11434.5,0.9658
81,9.4612,11789.5,0.9612
82,10.532,18280.5,0.9692
83,10.5355,18168.5,0.9678
84,9.6529,13839.0,0.9581
85,9.6556,13410.5,0.9592
86,9.8557,14224.0,0.9683
87,9.8554,14376.5,0.9655
88,9.2088,11138.5,0.9637
90,10.187,16376.5,0.9709
91,10.1867,16489.0,0.9765
92,10.0272,15369.5,0.9731
93,10.0269,14099.0,0.9529
94,9.3013,10791.5,0.967
95,9.3014,11322.5,0.9673
96,11.002,19942.0,0.9652
97,9.5888,13384.5,0.962
98,9.5873,13228.0,0.9679
99,9.7797,13343.0,0.9735
100,9.7792,13751.5,0.9591
101,9.6791,13063.0,0.9676
102,9.6792,13619.5,0.9749
103,10.6976,18863.5,0.9676
104,10.6998,19070.0,0.9672
105,9.6584,13798.5,0.964
106,8.9705,9914.5,0.9719
107,8.9705,8990.5,0.9676
108,9.7635,14888.0,0.9739
110,9.1183,10772.5,0.9592
111,9.1184,10357.0,0.9612
112,9.4547,13109.5,0.9699
113,9.4514,12927.5,0.9686
115,9.5985,14020.5,0.9723
116,9.0908,10435.5,0.969
117,9.0968,10619.5,0.9623
118,9.2942,11358.5,0.9574
119,9.2938,11405.0,0.9601
120,9.8867,14798.0,0.965
122,10.264,16527.0,0.9564
123,10.0444,15929.0,0.9703
124,10.0465,15311.5,0.9547
125,9.1023,10352.0,0.9686
126,9.098,10406.0,0.9688
127,8.8791,9312.5,0.9577
128,8.8784,9365.0,0.9649
129,9.0121,9285.5,0.97
130,9.0096,9845.0,0.9736
131,9.6864,13359.0,0.9656
132,9.6849,13505.5,0.9735
133,9.6861,13242.0,0.9637
134,9.6689,13327.5,0.9612
135,9.6704,12562.5,0.9514
136,9.0985,10716.5,0.9699
137,9.0997,10695.5,0.9601
138,11.314,21817.5,0.9643
139,11.2989,21664.5,0.9663
140,11.8585,24670.5,0.9686
141,11.864,24338.0,0.9555
142,8.5324,7970.0,0.9218
144,9.9429,15286.0,0.9729
145,9.9417,15156.0,0.9716
147,9.32,12288.5,0.96
148,9.1677,10851.5,0.97
149,9.1716,10921.0,0.9449
150,10.1133,15551.5,0.9519
151,10.1133,16038.5,0.9686
152,9.2749,11455.0,0.9665
153,9.2751,11491.5,0.9658
154,9.872,15274.5,0.9727
155,9.8664,15119.5,0.9698
156,9.5092,12529.0,0.9579
157,9.5135,12115.5,0.9645
158,9.2888,11709.0,0.9667
159,9.2894,11397.5,0.9718
160,8.755,8801.5,0.9705
161,9.0771,9703.5,0.9604
162,9.0749,10245.0,0.9649
163,8.8379,8670.5,0.9638
164,8.8402,8711.0,0.9673
165,8.832,8845.0,0.9593
166,8.8288,8879.0,0.961
167,8.896,9344.0,0.9715
168,8.8938,9263.5,0.9648
169,8.5255,6950.0,0.9666
173,8.8419,8491.5,0.9629
