ID,AverageMass,AreaInSquaredPixels,Roundness
1,4.8566,18556.5,0.9417
2,4.8568,18828.5,0.9421
3,4.8654,18750.0,0.941
4,4.8691,18668.5,0.9436
5,4.8689,18690.0,0.9416
6,4.8591,22683.5,0.8674
7,4.8404,23160.5,0.899
8,4.8484,21709.0,0.8947
9,4.8533,23007.5,0.902
10,4.8607,21714.5,0.8992
11,5.3319,20529.0,0.9617
12,5.3296,20502.5,0.9617
13,5.3455,20359.5,0.956
14,5.3238,20002.0,0.9526
15,5.3381,24209.5,0.8928
16,5.3361,25881.5,0.906
17,5.3594,23007.5,0.8942
18,5.3643,23591.5,0.8799
19,7.0003,22971.0,0.9429
20,6.9895,23507.5,0.9521
21,6.9924,23023.5,0.9458
22,6.9847,23403.5,0.9524
23,6.983,23164.0,0.9423
24,6.9821,30305.5,0.8919
25,6.9839,28207.0,0.8882
26,6.9841,31071.0,0.8839
27,6.9815,28955.0,0.8897
28,5.8793,20511.0,0.9494
29,5.8731,20534.0,0.954
30,5.8879,21530.5,0.9587
31,5.8797,20523.5,0.9472
32,5.8775,20536.5,0.9397
33,5.5909,19223.0,0.9466
34,5.5964,19966.5,0.9633
35,5.5926,18977.5,0.9485
36,5.5867,19117.0,0.9449
37,5.5852,19784.5,0.9596
38,5.5874,25391.5,0.902
39,5.587,25451.5,0.8767
40,5.5944,25010.5,0.8897
41,5.5903,24660.0,0.9015
42,5.5967,25619.0,0.8933
43,5.4506,22141.5,0.9538
44,5.4509,21456.5,0.9261
45,5.4409,19919.5,0.9354
46,5.4456,21575.0,0.9414
47,5.4494,20177.0,0.9455
48,5.4475,24206.0,0.8821
49,5.4349,24656.0,0.8856
50,5.4505,25070.5,0.8671
51,5.4493,25630.0,0.8763
52,4.9155,18517.5,0.966
53,4.9142,17959.0,0.9625
54,4.9142,17007.0,0.9388
55,4.9138,17498.5,0.9458
56,4.9138,23093.0,0.9267
57,4.9129,23480.0,0.9237
58,4.9141,22892.5,0.912
59,4.9128,22937.5,0.9144
60,4.9944,18524.0,0.9584
61,4.9945,18350.0,0.9571
62,4.9941,18483.5,0.9556
63,4.9948,18507.5,0.9589
64,4.995,22523.0,0.9015
65,4.9944,24145.5,0.8732
66,4.9932,22757.5,0.8526
67,4.9941,23064.0,0.8926
68,5.44,18886.0,0.9291
69,5.4393,19196.0,0.9364
70,5.4393,19364.0,0.9465
71,5.4394,19455.0,0.9478
72,5.4397,19069.0,0.9326
73,5.4401,26636.0,0.8314
74,5.4396,25175.5,0.9046
75,5.4391,25991.0,0.87
76,5.4397,25668.5,0.8575
77,3.9197,15528.0,0.9611
78,3.919,15636.5,0.958
79,3.9184,15556.0,0.9477
80,3.9171,15685.5,0.9571
81,3.9169,15253.5,0.9464
82,3.9181,15358.5,0.9519
83,3.918,15261.5,0.9531
84,3.9173,15731.5,0.9555
85,3.9176,18673.0,0.8495
86,3.9172,18636.0,0.8667
87,3.9168,18384.0,0.869
88,3.9163,18694.5,0.8601
89,3.9152,18496.5,0.8646
90,3.9162,18513.0,0.8701
91,3.9164,18579.5,0.8755
92,3.915,18840.5,0.8746
93,3.9142,18726.0,0.9023
94,3.9149,18750.0,0.9021
95,3.9147,19234.5,0.894
96,5.0155,19034.5,0.9599
97,5.0157,19475.5,0.957
98,5.015,19515.5,0.9524
99,5.0159,18515.0,0.9418
100,5.0149,18252.5,0.9415
101,5.0151,18039.5,0.9375
102,5.0153,18982.0,0.9556
103,5.0142,23746.5,0.8656
104,5.0151,23714.5,0.8662
105,5.0151,23670.5,0.8657
106,5.0143,23558.5,0.8796
107,5.0146,23604.0,0.8804
108,5.0129,22834.5,0.8649
109,5.0138,22772.0,0.8463
110,5.0136,23086.5,0.8749
111,5.0136,22611.5,0.8637
112,5.0123,25087.5,0.9071
113,5.0111,24552.5,0.9121
114,5.0121,24058.0,0.9178
115,5.0094,23941.0,0.914
116,5.0101,23683.0,0.9132
117,5.0102,21476.5,0.8787
118,5.0104,24652.0,0.8696
119,5.0039,23129.5,0.8516
120,5.0023,23271.5,0.869
121,5.0022,23686.5,0.8622
122,5.0012,23617.0,0.8798
123,5.0005,22438.5,0.8777
124,5.0003,22415.5,0.8388
125,4.9989,24948.5,0.9082
126,5.5468,20779.0,0.9553
127,5.5465,20563.5,0.9503
128,5.5472,20131.0,0.9462
129,5.547,19909.5,0.9359
130,5.5462,20544.5,0.9516
131,5.5456,20061.5,0.9378
132,5.5451,20678.0,0.9439
133,5.5457,26331.5,0.9163
134,5.5451,25936.5,0.9217
135,5.5438,26052.0,0.9122
136,5.5442,26262.5,0.9158
137,5.5417,26375.0,0.9116
138,5.5442,26222.5,0.9112
139,5.5442,22685.0,0.823
140,5.5442,26758.5,0.908
141,5.5445,25899.0,0.9019
142,5.5435,26104.0,0.9162
143,5.516,25728.5,0.934
144,5.542,26307.0,0.9149
145,4.6638,25127.0,0.9123
146,4.6643,25037.0,0.9119
147,4.6634,23368.5,0.8537
148,4.6628,21477.5,0.8872
149,4.6634,25726.5,0.9076
150,4.6623,25709.0,0.8992
151,4.6623,23078.0,0.8724
152,5.4823,20057.5,0.9548
153,5.4827,20778.5,0.9673
154,5.4814,21328.0,0.965
155,5.4811,20719.0,0.9511
156,5.4818,20716.0,0.961
157,5.4823,24887.0,0.9296
158,5.4812,24836.0,0.9123
159,5.4772,25195.0,0.9283
160,5.4766,24379.5,0.9031
161,5.4763,24416.0,0.9353
162,5.4772,24614.5,0.935
163,5.4964,19755.5,0.9302
164,5.4984,20033.0,0.9376
165,5.4969,19941.0,0.939
166,5.4988,20065.0,0.938
167,5.498,26112.5,0.8562
168,5.4983,26007.0,0.8587
169,5.4948,19796.5,0.9444
170,5.495,20108.5,0.9446
171,5.4946,19895.0,0.9509
172,5.4933,19877.0,0.9454
173,5.4892,19967.0,0.9338
174,5.4924,23212.0,0.8943
175,5.4931,23991.5,0.9089
176,5.4903,26513.5,0.8772
177,5.4883,26196.0,0.8641
178,5.4899,25986.5,0.8539
179,5.4885,26101.0,0.8525
180,5.4883,25438.5,0.8328
181,5.4875,26158.5,0.8651
182,5.4872,26419.5,0.8911
183,5.4881,22803.0,0.89
184,5.487,26707.0,0.8643
185,5.6244,20833.5,0.9455
186,5.6269,21269.0,0.9535
187,5.6265,20586.0,0.9413
188,5.6259,27351.5,0.9186
189,5.6236,26395.5,0.9129
190,5.6244,27188.5,0.9333
191,5.6233,26613.0,0.9225
192,5.6232,26951.0,0.9085
193,5.6203,26335.5,0.9131
194,5.6215,27443.0,0.9361
