ID,AverageMass,AreaInSquaredPixels,Roundness
1,45.9258,57872.5,0.4134
2,45.9232,57571.0,0.3869
3,45.9206,58238.0,0.3942
4,45.9226,57913.5,0.3717
5,45.9219,55933.5,0.4738
6,45.9202,58399.0,0.4664
7,45.9198,57426.0,0.4276
8,45.9147,58105.0,0.3819
9,45.9139,58341.0,0.3851
10,45.914,57737.0,0.37
11,45.9132,50145.0,0.3725
12,45.9132,49999.0,0.4087
13,45.9117,49547.0,0.3455
14,45.9112,50180.5,0.4486
15,45.9095,48989.5,0.3845
16,45.9086,49883.5,0.517
17,45.8982,50595.5,0.4084
18,45.8975,48436.0,0.5424
19,45.8956,60141.0,0.4676
20,45.8949,60821.5,0.4229
21,19.9164,29571.5,0.5108
22,19.9171,28961.0,0.5406
23,19.9151,27565.5,0.4033
24,19.9152,27016.5,0.5098
25,19.9132,27600.5,0.5663
26,19.9145,28634.5,0.4642
27,19.9125,28185.5,0.4695
28,19.9135,28059.5,0.5084
29,19.9122,28110.0,0.5042
30,19.9123,27626.0,0.7078
31,19.9108,26935.5,0.688
32,21.8082,31748.5,0.5414
33,21.8091,31916.5,0.5757
34,21.81,30802.0,0.5671
35,21.809,31027.5,0.5112
36,21.8071,31026.5,0.5241
37,21.8065,31067.5,0.5064
38,21.8047,32069.0,0.4952
39,21.8051,31790.0,0.5089
40,21.8039,31865.5,0.5468
41,21.8043,31366.5,0.5137
42,21.8038,31219.0,0.6125
43,21.803,31582.5,0.517
44,21.8034,28763.5,0.717
45,21.8032,30097.0,0.6439
46,27.9885,42033.0,0.6799
47,27.9886,41834.5,0.6933
48,27.9887,41232.0,0.7221
49,27.9875,41629.0,0.7493
50,27.9879,41482.5,0.7561
51,27.9877,41433.0,0.7264
52,27.987,40233.0,0.7773
53,27.9861,41582.5,0.7711
54,27.986,41284.0,0.7336
55,25.9422,36070.0,0.3956
56,25.943,35095.0,0.4048
57,25.9413,35019.5,0.4061
58,25.9411,35029.5,0.4351
59,25.9401,35280.0,0.4179
60,25.9385,36171.5,0.5241
61,25.9365,35297.0,0.5433
62,25.9376,37057.0,0.3258
63,25.9382,36973.0,0.4666
64,25.9367,36583.5,0.4194
65,18.5782,28060.0,0.6247
66,18.5774,29953.5,0.5258
67,18.5773,30311.0,0.4935
68,18.5766,29705.0,0.5584
69,18.5768,28957.0,0.6078
70,18.5758,27243.5,0.4766
71,18.5758,28924.0,0.6302
72,18.5752,29295.5,0.5462
73,18.5739,29501.0,0.5389
74,30.6497,40341.0,0.5131
75,30.6498,39995.5,0.5026
76,30.648,40167.5,0.5025
77,30.6465,39773.0,0.5179
78,30.6472,39848.5,0.5062
79,30.6459,40534.5,0.4925
80,30.6464,43725.5,0.4545
81,30.6446,40353.0,0.4995
82,30.6433,43174.0,0.4559
83,30.6407,43584.5,0.4799
84,30.6416,39600.0,0.5541
85,30.6422,39899.5,0.597
86,30.6415,39461.5,0.5742
87,30.6407,39233.5,0.5668
88,25.0369,36917.0,0.5699
89,25.0295,38622.0,0.5373
90,25.028,38041.0,0.4809
91,25.0286,36296.5,0.5572
92,25.0272,36674.5,0.5263
93,25.0252,35116.5,0.5285
94,25.0245,34205.5,0.5196
95,25.0236,33457.5,0.5155
96,25.0235,34348.5,0.5109
97,25.0208,34464.0,0.4013
98,34.207,48484.5,0.5781
99,34.2087,48006.0,0.6881
100,34.2088,47026.0,0.6808
101,34.2073,46713.5,0.6289
102,34.205,47693.0,0.6731
103,34.2078,44758.5,0.6561
104,34.206,43794.0,0.6402
105,34.2026,44577.5,0.6265
106,34.2025,47503.5,0.6401
107,34.2021,46951.0,0.6103
108,34.2016,47310.5,0.6781
109,34.1988,47264.0,0.7178
110,26.2895,41441.0,0.471
111,26.283,38888.5,0.4503
112,26.2829,39823.0,0.4468
113,26.2829,42022.5,0.4373
114,26.2822,43324.0,0.4398
115,26.2814,40370.5,0.4667
116,26.2814,40330.5,0.3718
117,26.2808,42119.0,0.5149
118,20.3734,29131.5,0.4777
119,20.374,29262.0,0.4656
120,20.3742,29262.5,0.4641
121,20.3688,28715.5,0.4587
122,20.3667,29885.5,0.6057
123,20.3675,29591.0,0.5401
124,20.3657,30401.0,0.4761
125,20.3657,28703.5,0.4864
126,21.6509,32842.0,0.4527
127,21.6487,32238.5,0.3746
128,21.6485,31288.5,0.6528
129,21.6484,30894.0,0.5442
130,21.6482,31847.0,0.5033
131,21.6472,31172.0,0.4724
132,21.6476,31320.0,0.6116
133,21.6471,31259.0,0.6867
134,21.646,29995.0,0.602
135,21.6454,30359.0,0.5494
136,18.6725,27779.0,0.6436
137,18.6728,27761.5,0.7773
138,18.6728,27528.0,0.6481
139,18.6718,27034.0,0.6997
140,18.6712,27154.5,0.687
141,18.6709,28881.0,0.5858
142,18.6691,27787.5,0.5116
143,18.6685,28423.0,0.6798
144,18.6701,28324.0,0.5448
145,18.6691,29293.5,0.7665
146,34.8203,49966.0,0.6821
147,34.8183,49318.0,0.6241
148,34.8198,50593.5,0.5666
149,34.8194,50017.5,0.6162
150,34.8188,49837.0,0.5906
151,34.8177,51223.0,0.6629
152,34.8164,49973.5,0.4577
153,34.8167,50864.0,0.5661
154,34.8153,50420.5,0.5547
155,34.8142,51123.5,0.5104
156,34.8153,51172.0,0.5692
157,20.1261,31559.0,0.4426
158,20.1256,31763.5,0.3917
159,20.1262,29963.0,0.3776
160,20.1259,31450.5,0.4821
161,20.1256,30847.5,0.5458
162,20.1253,30778.5,0.3911
163,20.1249,31259.5,0.4399
164,20.1235,30864.0,0.4472
165,20.1242,30342.0,0.4449
166,20.123,31228.5,0.5427
167,20.1246,30702.5,0.4663
168,36.2287,55074.5,0.5643
169,36.2292,53627.5,0.6295
170,36.2272,54213.5,0.6161
171,36.2274,54870.5,0.6081
172,36.2268,53583.5,0.6127
173,36.2257,52871.5,0.6525
174,36.225,55071.0,0.6781
175,36.2234,55586.0,0.6871
176,36.2221,55590.5,0.6339
177,22.132,32199.0,0.6212
178,22.1315,32763.0,0.6428
179,22.1307,30610.5,0.6022
180,22.1301,30678.5,0.6238
181,22.1296,31007.0,0.5656
182,22.1273,32576.5,0.5232
183,22.1277,33205.0,0.4926
184,22.1279,32389.0,0.4853
185,22.128,32537.0,0.5056
186,22.1243,32994.0,0.5286
187,20.3642,30857.5,0.4282
188,20.3633,31069.0,0.4277
189,20.3629,31345.5,0.3467
190,20.3616,32506.0,0.4138
191,20.3617,31973.0,0.3813
192,20.3606,30538.0,0.3653
193,20.3585,30427.0,0.3806
194,20.3592,30748.5,0.5213
195,20.3566,30154.0,0.5238
196,20.3574,30830.0,0.344
197,29.4447,37289.0,0.4901
198,29.445,37526.0,0.5478
199,29.445,37386.5,0.472
200,29.443,37717.0,0.4729
201,29.4418,38601.5,0.5092
202,29.4403,38154.0,0.4399
203,29.4386,37297.5,0.4529
204,29.4386,36227.0,0.5462
205,29.4369,38287.5,0.5215
206,29.4342,36332.0,0.4361
207,29.4341,37742.5,0.4806
208,29.4319,38688.5,0.3907
209,29.4325,36042.5,0.3866
210,19.1606,33735.5,0.4411
211,19.1564,33315.0,0.5631
212,19.1565,33229.0,0.5742
213,19.1541,29217.0,0.5317
214,19.1518,30029.5,0.5881
215,19.1483,30673.0,0.3879
216,19.1474,33205.0,0.4279
217,19.1457,33422.5,0.4709
218,19.1411,32972.0,0.4644
219,19.1397,31481.0,0.3957
220,17.7942,31729.5,0.4395
221,17.7934,32465.0,0.4075
222,17.7918,31712.5,0.3989
223,17.7908,31151.0,0.4247
224,17.79,31991.0,0.4264
225,17.7877,31782.0,0.4659
226,17.7892,31647.0,0.4222
227,17.79,29935.0,0.6314
228,17.79,29944.0,0.6012
229,17.7892,32242.5,0.4352
230,16.4327,26520.5,0.4227
231,16.4306,25437.0,0.4603
232,16.4292,25591.0,0.4379
233,16.4287,26345.5,0.4322
234,16.4286,27401.5,0.488
235,16.4285,27015.5,0.5016
236,16.4303,26976.0,0.4905
237,16.4274,26586.5,0.709
238,16.4268,27032.5,0.4596
239,16.424,27659.5,0.6212
240,16.4233,26694.0,0.4446
241,16.4878,25992.0,0.5839
242,16.4855,25645.0,0.5145
243,16.4851,25315.0,0.6137
244,16.4857,25089.0,0.6032
245,16.4847,25053.5,0.589
246,16.4844,25349.5,0.5937
247,16.4829,25183.0,0.5776
248,16.4832,25324.0,0.4904
249,16.4833,26247.0,0.6232
250,16.4832,25271.5,0.7762
251,16.4823,24213.0,0.6316
252,16.4827,23750.0,0.7149
253,16.4807,25684.5,0.7495
254,16.4823,25764.0,0.757
255,16.4792,25777.0,0.7299
256,14.4177,23106.5,0.4513
257,14.4176,22574.5,0.5038
258,14.4174,22070.0,0.6002
259,14.4169,22317.0,0.6152
260,14.4149,22688.0,0.5935
261,14.4157,22744.5,0.5169
262,14.4144,22882.0,0.5026
263,14.4148,22479.5,0.4866
264,14.4132,23161.5,0.4886
265,14.4091,22983.0,0.5015
266,14.409,23078.5,0.503
267,14.4074,22891.5,0.499
268,14.4087,22631.5,0.5516
269,14.4079,23049.0,0.5009
270,14.4073,22862.5,0.5549
271,14.4075,22962.0,0.5579
272,14.4061,21789.5,0.6424
273,14.4057,20529.0,0.7051
274,14.4057,21064.5,0.6816
275,14.4047,21238.5,0.6735
276,14.4053,21555.0,0.6455
277,14.405,21974.5,0.6288
278,14.4041,21714.0,0.5603
279,19.0557,25784.0,0.6524
280,19.0532,26077.0,0.6344
281,19.0534,24972.5,0.685
282,19.0522,25656.5,0.6733
283,19.0505,25727.5,0.6791
284,19.0491,25438.5,0.6877
285,19.049,25644.0,0.6569
286,19.0468,28119.5,0.6844
287,19.046,28005.0,0.6458
288,19.0441,28042.0,0.6065
289,19.0423,28103.0,0.6167
290,19.0416,28305.5,0.5865
291,19.0376,28738.5,0.525
292,26.8576,36670.5,0.5817
293,26.8587,36380.0,0.4977
294,26.8596,36785.0,0.509
295,26.8584,36965.5,0.5635
296,26.8579,37050.5,0.582
297,26.8573,37119.0,0.5418
298,26.8561,36642.0,0.4742
299,26.8554,37753.0,0.3942
300,26.8544,38569.0,0.4803
301,26.8542,37345.5,0.4838
302,26.8536,39610.0,0.48
303,26.8526,39134.5,0.4157
304,26.8505,39164.5,0.4251
305,26.8491,39449.0,0.4422
306,26.8489,39624.5,0.4382
307,26.8484,40040.0,0.4275
308,26.8473,39068.5,0.429
309,26.8447,39130.5,0.438
310,26.8439,37837.5,0.4143
311,26.8428,37113.0,0.4418
312,26.8403,37471.0,0.5389
313,26.8391,37215.5,0.4743
314,26.839,37308.5,0.4505
315,26.8377,37160.5,0.449
316,26.8328,37472.5,0.4805
317,26.8318,37532.0,0.4692
318,26.8293,37340.5,0.3992
319,26.8279,37676.0,0.4049
320,26.8273,37647.0,0.4464
321,26.8264,37578.5,0.4314
322,26.8241,37737.5,0.4326
323,26.8255,35955.5,0.5879
324,26.8257,37623.5,0.418
325,26.8244,37828.5,0.4637
326,26.8215,38304.5,0.4777
327,26.8205,37773.5,0.482
328,23.0042,29739.0,0.4022
329,23.0042,30504.0,0.462
330,23.0041,29497.0,0.4057
331,23.0031,29728.5,0.5348
332,23.002,29663.0,0.5255
333,22.9991,29868.5,0.457
334,22.9989,30338.0,0.4777
335,22.9989,31189.5,0.569
336,22.9988,30600.5,0.444
337,22.9956,33397.0,0.5517
338,22.9956,32800.5,0.559
339,22.9937,32232.0,0.5627
340,22.9921,32504.0,0.5952
341,22.9904,32646.5,0.5799
342,22.9903,32824.5,0.572
343,22.9883,32881.5,0.5551
344,22.9892,33001.0,0.5181
345,22.986,32764.0,0.5707
346,22.9845,32338.0,0.5684
347,30.1028,39564.0,0.5192
348,30.1022,39049.5,0.5499
349,30.0989,40715.0,0.6603
350,30.0961,39708.5,0.7235
351,30.0938,39643.0,0.7397
352,30.0948,39850.0,0.7318
353,30.094,40201.0,0.768
354,30.0934,40422.5,0.7817
355,30.0903,40186.5,0.736
356,30.0846,40111.5,0.7463
357,30.0834,39802.5,0.7422
358,30.0812,38611.5,0.5442
359,30.0799,38985.0,0.6743
360,30.0791,38720.5,0.638
361,30.0794,38812.5,0.6343
362,30.0777,38912.5,0.6284
363,30.0763,38940.0,0.6472
364,30.0739,38540.5,0.4516
365,30.0734,38878.5,0.4398
366,30.0735,39104.0,0.4468
367,20.8255,30212.0,0.3642
368,20.8247,29435.0,0.4891
369,20.8234,34153.0,0.3341
370,20.8229,36311.5,0.4293
371,20.822,34389.0,0.3994
372,20.8221,33924.5,0.3964
373,20.8212,33107.5,0.3904
374,20.821,29909.5,0.4209
375,20.8201,30228.5,0.4445
376,20.8183,30271.0,0.4277
377,20.8184,30257.0,0.4028
378,20.8186,30576.0,0.4895
379,20.817,30047.0,0.4779
380,20.8169,29189.5,0.4356
381,20.8158,29256.5,0.4462
382,20.8163,29515.5,0.4567
383,20.8149,30279.0,0.4361
384,20.8152,29100.5,0.606
385,20.814,30795.5,0.4445
386,20.8124,30598.5,0.3388
387,20.8124,31414.5,0.4357
388,20.8123,30908.5,0.4338
389,20.8124,31867.5,0.6133
390,20.811,31425.0,0.5295
391,20.8106,33069.5,0.454
392,20.811,33534.0,0.3956
393,20.81,32984.0,0.495
394,20.805,32218.0,0.5638
395,20.7963,31665.0,0.5273
396,20.7945,31615.5,0.4359
397,20.7926,32586.5,0.5035
398,20.7901,32428.5,0.4927
399,20.7911,32814.0,0.5293
400,20.7913,32363.5,0.4844
401,20.79,30045.5,0.3606
402,20.7893,33744.5,0.4013
403,20.7884,33528.5,0.4525
404,20.7892,31783.0,0.4145
405,19.337,29020.5,0.5353
406,19.3342,28461.0,0.5863
407,19.335,28354.5,0.5256
408,19.3315,27052.0,0.5085
409,19.3301,27290.0,0.5039
