ID,AverageMass,AreaInSquaredPixels,Roundness,hu0,hu1,hu2,hu3,hu4,hu5,hu6,meanB,meanG,meanR
1,4.8566,19512.5,0.8571,2.673032749699046,7.010660710923964,10.229825119170078,10.229825119170078,21.8520974419012,15.126325097468941,22.082974841496014,32.85958071703464,47.789700222807376,158.103807980555
2,4.8568,19716.0,0.8673,2.64519135286675,6.989123242297417,9.82375527825216,9.82375527825216,-20.681372688652797,14.374103679074928,-20.827661161584746,29.388142728275035,42.82895660018042,151.619174100431
3,4.8654,19595.5,0.8522,2.6617170549640976,6.901214432306387,10.126615545799806,10.126615545799806,-21.68822345556261,-15.053662108767023,-20.861061754616667,31.60734092971665,45.915044872441264,155.81834224059696
4,4.8691,19770.5,0.8534,2.6794348682084874,7.465284690263932,10.078639449598567,10.078639449598567,-22.324437036123218,14.268356387937382,20.842233621005033,34.26041979010495,49.28295852073963,159.30129935032485
5,4.8689,19784.0,0.8649,2.6579884241321423,7.188936120329046,9.928997990122356,9.928997990122356,-22.08888008117241,-14.93256589416231,-22.112529866269558,30.567126161222657,45.60363600039956,154.49110977924283
6,4.8591,24356.0,0.7994,2.627257979220222,7.021759276133053,8.751888977729374,8.751888977729374,19.310026995790434,13.439931329442537,-19.587734065776015,32.8664339071127,43.538933095160765,150.27176031178954
7,4.8404,24210.0,0.7965,2.6278697266111846,7.131349767070624,8.860586401748584,8.860586401748584,-21.868936497745544,13.818573547668668,-19.713586510255084,31.701621798276072,43.124147228236446,151.86081947791985
8,4.8484,22636.0,0.782,2.6712601355831453,6.744882370634798,8.961386460872173,8.961386460872173,19.653910939420065,13.604267322898968,-20.10801901089829,34.41423270028378,50.040864440078586,163.9595721458197
9,4.8533,23844.5,0.7846,2.679973481074771,7.402131000753545,8.876790270756816,8.876790270756816,20.668869029781977,14.211504097424635,-20.10692647428097,32.063606584566905,47.87465273458557,168.1474063938301
10,4.8607,22978.5,0.7941,2.6249576630169105,6.749951697070579,8.894767903782505,8.894767903782505,19.362254420936974,13.290925384777735,-19.519472592004657,32.81149445065818,44.27376752989762,151.74180504172762
11,5.3319,21268.5,0.8428,2.6629635370091718,7.5675376558950145,11.900545020184461,11.900545020184461,-21.55537998286707,14.354727734841125,-21.890680649609273,36.49656037928791,49.42967370084596,144.00148740355115
12,5.3296,20969.0,0.843,2.666503813811545,8.018959482778849,11.20656630984775,11.20656630984775,-21.116014292312517,14.439118740374372,-21.11568240225542,36.80571266968326,50.244155354449475,145.5210690045249
13,5.3455,21293.5,0.867,2.649171956100248,7.557995944115562,11.384592115215803,11.384592115215803,22.03907999033748,-15.083419709580077,-22.83142087332174,35.922287730374634,48.22273803444594,141.2135926837194
14,5.3238,21202.0,0.8513,2.659325753138509,7.8752979505374485,10.618343863421995,10.618343863421995,-22.026081253749624,15.103682954999279,21.8698617828809,36.40736596736597,49.073566433566434,143.3413986013986
15,5.3381,25252.5,0.7873,2.6540584824683067,6.7112342054891805,8.913942828942545,8.913942828942545,20.328105728359276,13.961845273534857,-21.402661964545324,34.61302201676722,47.63382433597116,158.0157094726945
16,5.3361,26909.5,0.8035,2.6513375894910682,6.70298472877791,8.846295515666101,8.846295515666101,-20.360753484491553,-14.336247559451543,21.49928533487594,34.21300382465431,46.36264342453662,158.04262283024417
17,5.3594,24318.5,0.8051,2.6215278323379594,6.540327995422499,8.877079625504546,8.877079625504546,-20.2144900648227,-14.046596339594368,19.9977408395343,36.18110460387181,45.49463152757443,146.31999349276072
18,5.3643,25076.5,0.7916,2.6012387272197457,6.909948706267705,8.728079093232745,8.728079093232745,20.73773032540852,13.918791228530855,19.812032873145515,32.326825227783694,41.86171261783615,143.0716680471739
19,7.0003,24388.0,0.8568,2.6837341130515897,6.976197032249644,10.280359895438323,10.280359895438323,22.079832904923826,-14.133125175038392,21.053157121253637,34.52316242089891,49.588430958948564,157.42069608956677
20,6.9895,24348.0,0.8479,2.6939125465275287,7.103161325617881,10.339943182790435,10.339943182790435,-21.386679492465692,14.320889644218738,-21.624013999150634,35.076594880130024,50.55164567249086,160.47411621292156
21,6.9924,24439.5,0.8571,2.6789136188214275,6.921265616092015,10.205284619947347,10.205284619947347,-21.320873288083146,14.770257850595591,21.288165862045307,33.90465201020284,48.99736831450666,157.4388436778817
22,6.9847,24293.0,0.8377,2.6886951843714813,6.928126212389886,10.270557579623468,10.270557579623468,-21.61948582390638,-15.246098083572006,22.683757260824844,35.07322635823083,50.89912030626374,160.42384132931497
23,6.983,24256.5,0.862,2.685520889719043,7.1064269832153295,10.04503346970458,10.04503346970458,20.607942608410532,13.964848333047259,-20.67315674210328,34.338757698111664,49.66638117378359,158.13475264080915
24,6.9821,31607.5,0.7817,2.6496991142355,6.618883227881808,8.787480703388917,8.787480703388917,-22.161606832604356,14.289049527276806,19.826154294295723,33.302083659721134,45.84114052953157,163.4807143976187
25,6.9839,29333.0,0.7835,2.6292326376506168,6.257507679175892,8.897739449520012,8.897739449520012,20.304242867330437,13.564212617682923,19.84450574723694,32.70741915884696,45.224768784176064,158.88520218726794
26,6.9841,31898.0,0.7786,2.6212604796181065,6.499286207382771,8.659307606679475,8.659307606679475,19.93947426754419,13.527551911127606,19.766725450872173,31.638334213223192,42.763982485015994,156.91742492469177
27,6.9815,29595.5,0.798,2.6296806068996608,6.176155355750571,9.106937147075445,9.106937147075445,20.178896078127764,13.48349911340546,20.514913703862856,33.389729006356646,45.464770826363335,158.62218133154903
28,5.8793,21365.0,0.8509,2.59985672713338,7.871372536189189,10.401101957799861,10.401101957799861,20.505781656237012,14.133136567986153,21.10731763023253,29.280194354465525,38.77362332253586,138.77889865802868
29,5.8731,21251.5,0.8465,2.608833566445804,7.226335518100136,9.833297057134136,9.833297057134136,20.956890687437202,-14.381471989883112,-20.536777575206614,31.19241860465116,41.148558139534885,140.67460465116278
30,5.8879,22200.5,0.8612,2.5979758247545854,7.52746596162181,10.093974227558153,10.093974227558153,20.662866438093065,14.23412159365151,-20.402004305355344,29.34384605104904,38.57597220366163,138.41102053543588
31,5.8797,21418.5,0.8446,2.606438772232885,6.70356303705862,10.430017482187209,10.430017482187209,21.456290845164194,-14.848980861207117,21.54576894207576,32.41674358501015,41.54679712017722,141.20892560457818
32,5.8775,21466.5,0.8586,2.586784333336002,6.841031580986132,9.875956198247342,9.875956198247342,-20.889375412737927,13.912262345889538,-20.752937376167665,29.5538362346873,38.823063461361336,136.48825642442665
33,5.5909,20522.0,0.8605,2.6592478852233716,7.658053365813884,10.166622047374299,10.166622047374299,-22.952349816105702,-15.558623931400202,-20.983544784143273,35.18151608553266,47.81044114814102,149.6143324985552
34,5.5964,20406.0,0.8522,2.6588838138862694,7.761528857582274,10.757564560003939,10.757564560003939,21.459590769379485,14.847870489823714,21.650219595713022,34.54466188723116,47.77378415035845,150.14764580507654
35,5.5926,20247.0,0.8415,2.6906140218558607,7.47817949255282,10.425901238618557,10.425901238618557,-21.606698644549898,-15.034562123453808,21.886947384819205,38.267379418082406,52.095440343682874,158.2374536223394
36,5.5867,20298.0,0.8601,2.6699999084841557,7.725161953830871,10.257639935422088,10.257639935422088,21.52000241206279,14.434392930355855,-20.968694811888977,35.541833057368265,48.626619265608255,151.09476965033602
37,5.5852,20603.0,0.8693,2.656769013326691,7.559173336101974,10.5869505547104,10.5869505547104,21.31621512647163,-14.49661783424786,-22.002862622446695,34.86501919385797,47.43474088291747,147.8401151631478
38,5.5874,26132.5,0.806,2.6451108450982295,6.319915740390819,9.032493918711811,9.032493918711811,20.6770097603891,13.734876491700613,19.719221716612655,33.639536644457905,46.33377498485766,160.44363264688067
39,5.587,26862.0,0.7937,2.622502624109991,6.45454668046996,8.879939126215856,8.879939126215856,20.533138575011368,13.740661684459466,19.582405224738558,32.71167022765785,42.47089810653503,152.34686509983055
40,5.5944,25805.0,0.7669,2.627385421800004,6.445967672149427,8.761191547316901,8.761191547316901,19.73768151871396,13.433764225375466,19.93670619505355,33.04309650703578,44.156665772017945,156.77132778651125
41,5.5903,25364.0,0.7967,2.6712434162705665,6.450439291507886,9.07050107576018,9.07050107576018,20.122615633001885,13.537984985594871,20.150799298969897,33.53297710519131,48.19415733842973,165.85685869183663
42,5.5967,27536.5,0.818,2.669893136988296,6.538849198792107,9.149202603240644,9.149202603240644,-20.53003804509245,13.691457417800518,19.830560015172907,34.706819080484564,48.27826305762249,164.27186455300335
43,5.4506,22778.0,0.8566,2.6465944426008425,7.180463235104916,9.59003286831526,9.59003286831526,-20.405267413035457,-14.02836824623008,20.638370506652773,33.552579020493226,44.02791767974991,150.2846040291768
44,5.4509,22877.5,0.8223,2.6535045986985155,6.781863265650051,9.414159363229562,9.414159363229562,21.960037329038293,-14.69502355328651,21.72693800959713,35.15016209206829,46.126172465960664,152.52790144802248
45,5.4409,21354.5,0.8485,2.6284019320092082,7.484660435983987,9.62979653603025,9.62979653603025,-22.20382205613114,-15.774396349216138,22.90486185071956,34.11923165933811,43.55163156676695,143.58222633649618
46,5.4456,22399.5,0.8305,2.5948272230130933,7.0554557271229665,9.297501582808335,9.297501582808335,20.014974737015198,13.61215923038151,-19.829264699349345,30.52725427020347,39.61362934192523,136.77424195612835
47,5.4494,21306.0,0.8573,2.638129176164243,7.808582025480367,9.789741996083208,9.789741996083208,-20.329059223701226,-14.357619448521474,-20.492350628134385,33.6441865862149,44.26511951728939,145.83903457878858
48,5.4475,25044.5,0.7626,2.6000701590113833,6.7861640340035745,8.65090396926979,8.65090396926979,-20.528433651384347,-14.266617951067843,-21.15602328592627,30.742605536468822,39.94187102633969,148.23753109821112
49,5.4349,25363.5,0.7849,2.6321733627759887,6.648580309233396,8.859197023515465,8.859197023515465,-21.5079262377154,15.506162645461613,21.68058267966389,33.9292094075432,44.4233784468973,153.12133858574828
50,5.4505,26081.0,0.7699,2.5742780675608006,6.511911895263499,8.698456595518646,8.698456595518646,19.277161639761967,13.058371592989133,18.968966997082358,30.96441713136831,39.61196464474034,136.24551420659307
51,5.4493,26615.5,0.772,2.575980148404639,6.239994219358995,8.904547033302647,8.904547033302647,19.885667548395197,13.345518148927418,19.967626045983245,31.066954161864754,38.90044239562809,139.88691029406297
52,4.9155,19308.5,0.8707,2.719560699639286,8.703248309631856,10.82001331315835,10.82001331315835,22.43959176515989,15.283072316253756,21.373467618801683,34.883845878319605,51.46036944174384,171.61218850739394
53,4.9142,18767.0,0.8706,2.7343485404691914,8.45597469073552,10.514537759832896,10.514537759832896,-20.930265170684848,14.774479700552774,-22.129811519447212,37.068322981366464,53.851089588377725,174.8715654279398
54,4.9142,18522.0,0.8603,2.745453557553954,8.246952051900589,10.354957861477022,10.354957861477022,21.40821257618768,-16.07978172347008,21.728899072802154,38.26765145051195,55.36636092150171,178.66014291808875
55,4.9138,18743.0,0.8678,2.714319372589107,7.912364225796486,12.015732170568839,12.015732170568839,-23.91989415116299,15.327434063698313,-22.994604890742814,34.059400200284614,50.01217519633163,170.51056764876404
56,4.9138,24110.0,0.8153,2.672998597235341,6.58627194373657,9.251411172814567,9.251411172814567,20.28721021643119,13.686003814091118,20.425054016465324,34.031146128277726,47.482744470433744,171.68636382288975
57,4.9129,24364.5,0.7969,2.6936065022496294,6.628791916108982,9.3072687534798,9.3072687534798,20.55032385932746,13.88345110743803,20.529699114639424,36.39126197823615,50.5424313789183,177.6795517297385
58,4.9141,23551.5,0.7952,2.6913908139978227,6.697920214871175,9.114977338111068,9.114977338111068,-20.34785830879292,-14.390042901096795,20.51215275323132,34.26241968672574,48.901020451014155,176.25397891907784
59,4.9128,23619.5,0.7667,2.6724102154391423,6.617756463996244,9.006853069227336,9.006853069227336,-20.372388352819538,-14.64975270326015,-23.034599550350197,33.90374712162445,47.49667155118275,174.5652501570023
60,4.9944,18932.5,0.8549,2.692433880100516,7.736011033169959,10.417930522048996,10.417930522048996,-22.843691683597402,15.499346142922304,-20.844960578159714,38.30267139726599,53.05139309193363,157.23745173745172
61,4.9945,19282.0,0.8678,2.657300718942061,7.462492657741563,10.258407445797419,10.258407445797419,-21.137070937925433,-14.241556942793204,20.351551598610296,35.42553300533005,49.04115416154161,148.52552275522754
62,4.9941,19350.0,0.8713,2.6481740957976205,7.702588466546269,10.16572983349894,10.16572983349894,20.447603687800378,14.334522840075918,-21.66328596824072,34.20896741905832,47.27336329281994,147.23552241854765
63,4.9948,19358.5,0.8686,2.67149174965768,7.756184162813519,10.830700727222666,10.830700727222666,-22.018684150253197,15.036920277428182,-22.10876779675576,36.29675377705186,50.04246631278073,153.197376480196
64,4.995,23426.0,0.7867,2.587513159502744,6.384939369429653,8.84834585078577,8.84834585078577,19.412775307649405,13.096725171487892,19.340928198079148,31.52038318703579,40.54853139770426,143.58668129642135
65,4.9944,24851.0,0.7801,2.6531979560429924,6.443834666660478,8.77811853746206,8.77811853746206,19.642330331614815,13.44961024111357,-19.729257621311284,31.950694416809263,46.510485892793184,167.19479485852997
