ID,AverageMass,AreaInSquaredPixels,Roundness
1,4.8566,19803.5,0.9648
2,4.8568,19730.5,0.9641
3,4.8654,19542.5,0.9617
4,4.8691,19550.0,0.9639
5,4.8689,19986.0,0.9701
6,4.8591,24299.5,0.8663
7,4.8404,24207.5,0.8921
8,4.8484,22393.0,0.8668
9,4.8533,24043.0,0.8922
10,4.8607,22789.0,0.8725
11,5.3319,21537.0,0.9636
12,5.3296,21107.5,0.9599
13,5.3455,21300.5,0.966
14,5.3238,21111.5,0.9651
15,5.3381,25170.5,0.8646
16,5.3361,26772.0,0.8792
17,5.3594,24394.0,0.8819
18,5.3643,25154.0,0.8785
19,7.0003,24231.0,0.9536
20,6.9895,24220.0,0.9544
21,6.9924,24378.0,0.9638
22,6.9847,24402.5,0.9552
23,6.983,24342.5,0.9548
24,6.9821,31892.0,0.8841
25,6.9839,29461.5,0.8793
26,6.9841,31799.5,0.8586
27,6.9815,29964.5,0.872
28,5.8793,21534.5,0.9639
29,5.8731,21212.5,0.9465
30,5.8879,22101.0,0.9677
31,5.8797,21360.0,0.9605
32,5.8775,21669.0,0.9556
33,5.5909,20734.0,0.967
34,5.5964,20621.5,0.9721
35,5.5926,20351.0,0.9661
36,5.5867,20524.5,0.9651
37,5.5852,20827.0,0.9546
38,5.5874,26286.5,0.8996
39,5.587,26929.0,0.8893
40,5.5944,25706.5,0.8798
41,5.5903,25532.0,0.8913
42,5.5967,27438.0,0.9027
43,5.4506,22818.5,0.9554
44,5.4509,22845.0,0.9108
45,5.4409,21316.5,0.946
46,5.4456,22283.0,0.9264
47,5.4494,21304.5,0.953
48,5.4475,25220.5,0.856
49,5.4349,25439.0,0.8672
50,5.4505,26087.5,0.8475
51,5.4493,26725.0,0.8487
52,4.9155,19159.5,0.9774
53,4.9142,18823.0,0.978
54,4.9142,18501.0,0.9735
55,4.9138,18776.5,0.9797
56,4.9138,24047.0,0.9125
57,4.9129,24356.0,0.8878
58,4.9141,23595.5,0.8882
59,4.9128,23639.5,0.8665
60,4.9944,19223.5,0.9606
61,4.9945,19244.0,0.9678
62,4.9941,19490.5,0.9713
63,4.9948,19333.0,0.9726
64,4.995,23280.0,0.8915
65,4.9944,24804.5,0.8538
66,4.9932,24821.0,0.8662
67,4.9941,23849.5,0.8874
68,5.44,19911.5,0.9405
69,5.4393,20113.5,0.9378
70,5.4393,20282.5,0.9393
71,5.4394,20115.0,0.9501
72,5.4397,20009.5,0.9446
73,5.4401,27698.0,0.812
74,5.4396,25749.0,0.8792
75,5.4391,27543.5,0.8153
76,5.4397,26716.0,0.8378
77,3.9197,16050.0,0.9455
78,3.919,16320.0,0.9476
79,3.9184,16700.5,0.9497
80,3.9171,16572.5,0.9613
81,3.9169,16297.5,0.9548
82,3.9181,16126.5,0.955
83,3.918,16238.0,0.9476
84,3.9173,16378.5,0.9553
85,3.9176,19520.0,0.8194
86,3.9172,19444.5,0.8237
87,3.9168,19432.0,0.8311
88,3.9163,19434.0,0.8432
89,3.9152,19554.5,0.8417
90,3.9162,19543.0,0.8461
91,3.9164,19311.5,0.839
92,3.915,20479.0,0.8656
93,3.9142,19551.5,0.8969
94,3.9149,19333.5,0.8924
95,3.9147,20434.5,0.8675
