ID,AverageMass,AreaInSquaredPixels,Roundness
21,6.9924,17784.0,0.7531
22,6.9847,17844.0,0.7737
23,6.983,17824.5,0.8063
24,6.9821,17287.5,0.7483
25,6.9839,17164.0,0.7635
26,6.9841,14675.5,0.8039
27,6.9815,14762.0,0.7448
28,5.8793,15341.5,0.8187
29,5.8731,15020.5,0.7621
30,5.8879,16184.0,0.7584
32,5.8775,11142.0,0.8605
33,5.5909,11399.0,0.8206
34,5.5964,20316.0,0.7326
35,5.5926,20238.5,0.7255
36,5.5867,20060.0,0.7662
37,5.5852,16101.0,0.7388
38,5.5874,16176.5,0.77
39,5.587,15844.0,0.7404
40,5.5944,15439.0,0.7723
41,5.5903,14733.0,0.8081
42,5.5967,14678.5,0.7156
43,5.4506,14782.5,0.758
44,5.4509,25911.0,0.7188
45,5.4409,25901.5,0.718
46,5.4456,9031.5,0.8713
47,5.4494,9255.5,0.8207
48,5.4475,11447.0,0.8626
49,5.4349,11120.0,0.8423
50,5.4505,13716.0,0.8137
51,5.4493,13726.0,0.8609
52,4.9155,21497.0,0.7225
53,4.9142,21718.5,0.7531
54,4.9142,17607.5,0.7886
55,4.9138,17659.5,0.759
56,4.9138,23877.5,0.7258
57,4.9129,23818.5,0.7684
59,4.9128,8688.0,0.8489
60,4.9944,8318.5,0.8416
61,4.9945,17193.0,0.8207
62,4.9941,17334.5,0.7837
63,4.9948,17449.0,0.8474
64,4.995,17484.0,0.8228
65,4.9944,26764.0,0.7262
67,4.9941,10077.0,0.8206
68,5.44,9995.5,0.8693
70,5.4393,14767.0,0.8073
71,5.4394,14306.0,0.8573
72,5.4397,14395.5,0.8555
73,5.4401,18899.5,0.8163
74,5.4396,19141.5,0.7381
75,5.4391,8977.5,0.8541
76,5.4397,8679.0,0.8541
77,3.9197,16255.5,0.784
78,3.919,16333.5,0.8524
79,3.9184,13270.0,0.7706
80,3.9171,12016.5,0.7953
81,3.9169,12586.0,0.8848
82,3.9181,19021.5,0.733
83,3.918,18905.5,0.7993
84,3.9173,14667.5,0.8083
85,3.9176,14116.0,0.8064
86,3.9172,14683.5,0.8596
87,3.9168,15259.0,0.8438
88,3.9163,11694.5,0.8745
90,3.9162,17161.5,0.8193
91,3.9164,17167.0,0.7986
92,3.915,15881.5,0.8036
93,3.9142,14921.0,0.8089
94,3.9149,11252.5,0.8505
95,3.9147,12011.0,0.8578
96,5.0155,21062.5,0.7772
97,5.0157,14075.0,0.8444
98,5.015,13814.5,0.8577
99,5.0159,13957.0,0.8244
100,5.0149,14775.0,0.8328
101,5.0151,13778.0,0.83
102,5.0153,13965.5,0.8675
103,5.0142,19726.0,0.8068
104,5.0151,19876.5,0.773
105,5.0151,14440.0,0.8748
106,5.0143,10313.0,0.8642
107,5.0146,9508.0,0.8477
108,5.0129,15364.5,0.8976
110,5.0136,11388.0,0.8787
111,5.0136,10784.5,0.8685
112,5.0123,13552.5,0.7657
113,5.0111,13499.0,0.8283
115,5.0094,14643.0,0.8185
116,5.0101,11000.5,0.8379
117,5.0102,11155.0,0.8626
118,5.0104,12030.0,0.8573
119,5.0039,11971.5,0.8015
120,5.0023,15609.5,0.8139
122,5.0012,17761.0,0.812
123,5.0005,16591.5,0.806
124,5.0003,16490.5,0.7585
125,4.9989,10929.5,0.8565
126,5.5468,10916.0,0.7261
127,5.5465,9782.0,0.8605
128,5.5472,9807.0,0.8644
129,5.547,9788.0,0.8656
130,5.5462,10269.5,0.904
131,5.5456,14076.5,0.8014
132,5.5451,13902.0,0.6836
133,5.5457,14104.0,0.8418
134,5.5451,13965.5,0.799
135,5.5438,13644.0,0.848
136,5.5442,11154.5,0.886
137,5.5417,11392.5,0.8651
138,5.5442,23070.0,0.7317
139,5.5442,22784.0,0.8098
140,5.5442,25695.0,0.7637
141,5.5445,25858.5,0.759
142,5.5435,8228.5,0.7997
144,5.542,15789.5,0.8412
145,4.6638,15747.5,0.8888
147,4.6634,13044.0,0.8866
148,4.6628,11246.5,0.8727
149,4.6634,11783.0,0.8084
150,4.6623,16919.0,0.8289
151,4.6623,16756.5,0.8325
152,5.4823,12053.0,0.8848
153,5.4827,12073.0,0.8778
154,5.4814,15752.0,0.8652
155,5.4811,15690.5,0.8484
156,5.4818,13366.0,0.8758
157,5.4823,12847.5,0.8719
158,5.4812,12241.5,0.8343
159,5.4772,11692.0,0.8886
160,5.4766,9168.5,0.8408
161,5.4763,10316.0,0.8555
162,5.4772,10879.5,0.8478
163,5.4964,9142.5,0.8209
164,5.4984,9141.5,0.8321
165,5.4969,9304.5,0.8541
166,5.4988,9501.5,0.8182
167,5.498,9855.0,0.8369
168,5.4983,9338.5,0.8961
169,5.4948,7326.5,0.842
173,5.4892,9004.5,0.824
