ID,AverageMass,AreaInSquaredPixels,Roundness
21,10.2444,17752.0,0.8926
22,10.2427,18061.5,0.8737
23,10.2425,18034.0,0.8749
24,10.1629,17341.5,0.8651
25,10.1636,17083.5,0.8759
26,9.7124,14628.5,0.8742
27,9.7125,14849.0,0.8769
28,9.8781,15211.0,0.8803
29,9.8802,15155.0,0.8739
30,9.9806,16331.5,0.8735
32,9.1594,11180.5,0.8616
33,9.1617,11286.5,0.8785
34,10.8762,20292.5,0.8622
35,10.8735,20249.0,0.8882
36,10.8766,20136.5,0.873
37,9.9834,16072.0,0.8593
38,9.9846,16197.5,0.8783
39,9.9304,15770.5,0.872
40,9.9257,15434.0,0.8798
41,9.6898,14758.5,0.868
42,9.6972,14579.0,0.8779
43,9.7016,14795.0,0.8685
44,11.9737,25673.0,0.8823
45,11.9794,25789.5,0.8677
46,8.7405,8973.5,0.8774
47,8.7423,9279.5,0.8737
48,9.1772,11479.5,0.879
49,9.1813,11088.0,0.8656
50,9.4972,13562.5,0.8805
51,9.495,13773.0,0.872
52,11.0753,21705.5,0.8888
53,11.0766,21496.5,0.8902
54,10.27,17630.0,0.8758
55,10.2695,17644.5,0.8757
56,11.5706,23891.5,0.8674
57,11.5745,23901.0,0.873
59,8.7329,8511.5,0.8697
60,8.7356,8344.0,0.8848
61,10.2567,17107.0,0.8763
62,10.2568,17153.5,0.8778
63,10.213,17369.5,0.8918
64,10.2143,17433.0,0.8799
65,12.3145,26580.5,0.8681
67,8.9281,9995.5,0.8685
68,8.9272,9970.5,0.8686
70,9.6905,14837.5,0.8777
71,9.6184,14353.5,0.8703
72,9.6184,14221.0,0.8825
73,10.6453,18946.5,0.8693
74,10.6412,19058.0,0.8764
75,8.8254,8899.5,0.8807
76,8.8253,8683.5,0.8814
77,9.9625,16150.5,0.8757
78,9.962,16274.0,0.8803
79,9.4596,13167.0,0.8777
80,9.4601,12048.5,0.8731
81,9.4612,12802.5,0.8785
82,10.532,18822.0,0.8839
83,10.5355,18773.5,0.8888
84,9.6529,14702.5,0.8697
85,9.6556,14106.0,0.8709
86,9.8557,14682.5,0.8685
87,9.8554,15200.0,0.8752
88,9.2088,11778.5,0.8828
90,10.187,17204.5,0.8834
91,10.1867,17017.5,0.8767
92,10.0272,15964.5,0.8664
93,10.0269,14940.0,0.8733
94,9.3013,11181.5,0.8754
95,9.3014,11955.0,0.8778
96,11.002,21083.0,0.8697
97,9.5888,13994.5,0.8778
98,9.5873,13756.0,0.8637
99,9.7797,13758.5,0.8688
100,9.7792,14626.0,0.8692
101,9.6791,13724.5,0.8569
102,9.6792,13746.0,0.8788
103,10.6976,19741.0,0.8761
104,10.6998,19894.5,0.8739
105,9.6584,14418.0,0.8719
106,8.9705,10178.0,0.8663
107,8.9705,9598.0,0.8614
108,9.7635,15344.0,0.876
110,9.1183,11499.5,0.8871
111,9.1184,10625.0,0.8754
112,9.4547,13769.5,0.8695
113,9.4514,13607.0,0.8699
115,9.5985,14663.0,0.8695
116,9.0908,10879.5,0.866
117,9.0968,11286.0,0.8819
118,9.2942,12048.0,0.8855
119,9.2938,11937.0,0.8764
120,9.8867,15444.0,0.876
122,10.264,17732.5,0.8812
123,10.0444,16593.5,0.8706
124,10.0465,16349.5,0.8822
125,9.1023,10843.0,0.876
126,9.098,10896.5,0.8531
127,8.8791,9904.0,0.8746
128,8.8784,9855.0,0.859
129,9.0121,9660.5,0.8602
130,9.0096,10317.5,0.8512
131,9.6864,14051.0,0.8804
132,9.6849,13760.0,0.8843
133,9.6861,13876.0,0.874
134,9.6689,14083.0,0.8778
135,9.6704,13449.5,0.8759
136,9.0985,11179.0,0.8727
137,9.0997,11309.5,0.8651
138,11.314,23076.5,0.8802
139,11.2989,22802.0,0.8802
140,11.8585,25553.0,0.8792
141,11.864,25928.5,0.8781
142,8.5324,8319.0,0.833
144,9.9429,15851.5,0.8722
145,9.9417,15700.5,0.8804
147,9.32,13077.0,0.867
148,9.1677,11088.5,0.8681
149,9.1716,11633.5,0.8856
150,10.1133,16904.5,0.8881
151,10.1133,16734.5,0.8696
152,9.2749,11877.5,0.8667
153,9.2751,12010.0,0.8768
154,9.872,15753.5,0.8877
155,9.8664,15672.5,0.8788
156,9.5092,13405.5,0.8825
157,9.5135,12703.5,0.8765
158,9.2888,11903.0,0.8739
159,9.2894,11559.5,0.8749
160,8.755,9050.5,0.8833
161,9.0771,10217.0,0.8696
162,9.0749,10885.0,0.8794
163,8.8379,9092.0,0.8919
164,8.8402,9086.0,0.8855
165,8.832,9343.5,0.8686
166,8.8288,9413.5,0.8807
167,8.896,9955.0,0.8846
168,8.8938,9398.0,0.8894
169,8.5255,7269.0,0.8714
173,8.8419,9036.0,0.8709
