ID,AverageMass,AreaInSquaredPixels,Roundness
1,4.8566,18648.0,0.936
2,4.8568,19201.0,0.9502
3,4.8654,18730.5,0.9381
4,4.8691,19039.5,0.9452
5,4.8689,19147.5,0.9555
6,4.8591,23531.0,0.8628
7,4.8404,24041.0,0.9088
8,4.8484,22224.5,0.889
9,4.8533,23483.0,0.8918
10,4.8607,22394.5,0.9013
11,5.3319,21124.5,0.9598
12,5.3296,20356.5,0.9555
13,5.3455,20562.0,0.9532
14,5.3238,20808.0,0.9647
15,5.3381,24662.5,0.8832
16,5.3361,25686.0,0.8871
17,5.3594,23725.0,0.8926
18,5.3643,24667.0,0.8868
19,7.0003,23468.5,0.9468
20,6.9895,23756.0,0.9492
21,6.9924,23838.0,0.9505
22,6.9847,23711.5,0.952
23,6.983,23838.0,0.9506
24,6.9821,31352.5,0.8864
25,6.9839,28735.5,0.89
26,6.9841,32071.5,0.8823
27,6.9815,28862.0,0.8759
28,5.8793,20812.5,0.9539
29,5.8731,20344.5,0.9424
30,5.8879,21611.0,0.9617
31,5.8797,20419.0,0.9437
32,5.8775,20813.0,0.9473
33,5.5909,20008.5,0.9613
34,5.5964,20092.0,0.96
35,5.5926,19919.0,0.9657
36,5.5867,19713.5,0.9552
37,5.5852,19701.0,0.9556
38,5.5874,25775.5,0.8907
39,5.587,26049.0,0.8696
40,5.5944,25087.0,0.8762
41,5.5903,25083.0,0.8886
42,5.5967,26439.5,0.8963
43,5.4506,21736.0,0.9383
44,5.4509,22044.0,0.9299
45,5.4409,21139.0,0.9592
46,5.4456,21908.0,0.9442
47,5.4494,20969.5,0.9582
48,5.4475,24788.5,0.875
49,5.4349,24946.0,0.8853
50,5.4505,25749.0,0.8784
51,5.4493,25475.0,0.8535
52,4.9155,18346.0,0.9568
53,4.9142,18401.0,0.9663
54,4.9142,17356.5,0.9446
55,4.9138,17860.5,0.9518
56,4.9138,23339.5,0.9102
57,4.9129,23896.5,0.9072
58,4.9141,23042.5,0.8988
59,4.9128,23264.0,0.882
60,4.9944,18176.0,0.9555
61,4.9945,18864.0,0.9691
62,4.9941,18772.5,0.959
63,4.9948,18469.0,0.9518
64,4.995,22556.5,0.8994
65,4.9944,24505.5,0.8691
66,4.9932,24427.0,0.8713
67,4.9941,23741.5,0.8945
68,5.44,19227.5,0.9384
69,5.4393,19106.0,0.9314
70,5.4393,19360.5,0.9363
71,5.4394,19405.5,0.9405
72,5.4397,19200.5,0.9442
73,5.4401,27121.5,0.8344
74,5.4396,25668.0,0.9059
75,5.4391,26908.5,0.8465
76,5.4397,25926.5,0.8689
77,3.9197,15558.5,0.9546
78,3.919,15981.5,0.9555
79,3.9184,15993.5,0.9566
80,3.9171,16210.5,0.9592
81,3.9169,15789.5,0.9556
82,3.9181,15292.5,0.9532
83,3.918,15902.5,0.9615
84,3.9173,15892.5,0.9565
85,3.9176,18383.0,0.858
86,3.9172,18966.0,0.8616
87,3.9168,19299.5,0.8747
88,3.9163,18644.5,0.8631
89,3.9152,19055.0,0.8682
90,3.9162,18897.0,0.8594
91,3.9164,18126.5,0.8772
92,3.915,19475.5,0.8888
93,3.9142,18941.0,0.907
94,3.9149,19114.5,0.9123
95,3.9147,19333.0,0.8864
96,5.0155,19527.5,0.9596
97,5.0157,19235.5,0.945
98,5.015,19445.0,0.953
99,5.0159,18505.5,0.9361
100,5.0149,18352.0,0.9418
101,5.0151,18556.5,0.9415
102,5.0153,18790.0,0.9392
103,5.0142,24620.5,0.8745
104,5.0151,24691.5,0.8777
105,5.0151,24574.5,0.8776
