ID,AverageMass,AreaInSquaredPixels,Roundness
1,45.9258,52830.5,0.6162
2,45.9232,51881.5,0.6979
3,45.9206,52551.0,0.6719
4,45.9226,53041.0,0.7002
5,45.9219,52261.0,0.7051
6,45.9202,52667.0,0.6361
7,45.9198,52962.0,0.6275
8,45.9147,48918.5,0.7234
9,45.9139,54634.5,0.6267
10,45.914,55062.5,0.66
11,45.9132,48586.5,0.6642
12,45.9132,47297.0,0.5946
13,45.9117,44954.0,0.5927
14,45.9112,46093.5,0.5383
15,45.9095,46812.0,0.5227
16,45.9086,44907.5,0.6329
17,45.8982,47320.5,0.6559
18,45.8975,42176.0,0.8469
19,45.8956,56807.5,0.7534
20,45.8949,55458.0,0.7939
21,19.9164,27555.0,0.6666
22,19.9171,27280.5,0.6623
23,19.9151,26190.0,0.7476
24,19.9152,26130.5,0.7704
25,19.9132,25538.5,0.7511
26,19.9145,27202.0,0.539
27,19.9125,26857.0,0.6471
28,19.9135,26110.5,0.6553
29,19.9122,27053.0,0.6702
30,19.9123,25718.0,0.8849
31,19.9108,25048.0,0.7688
32,21.8082,29908.5,0.6355
33,21.8091,29657.0,0.6849
34,21.81,28968.5,0.6364
35,21.809,29365.0,0.6099
36,21.8071,29802.5,0.616
37,21.8065,29288.0,0.6776
38,21.8047,30843.5,0.6281
39,21.8051,30770.0,0.5641
40,21.8039,29406.5,0.693
41,21.8043,30361.0,0.6685
42,21.8038,29463.5,0.6915
43,21.803,29778.5,0.6904
44,21.8034,28228.0,0.713
45,21.8032,27001.0,0.7761
46,27.9885,39120.5,0.8901
47,27.9886,40960.5,0.8166
48,27.9887,39350.5,0.835
49,27.9875,40215.0,0.8544
50,27.9879,38083.0,0.8339
51,27.9877,37923.5,0.8346
52,27.987,38801.0,0.8886
53,27.9861,38352.5,0.8737
54,27.986,38928.5,0.8471
55,25.9422,32661.0,0.458
56,25.943,32433.0,0.5601
57,25.9413,32402.5,0.5532
58,25.9411,32264.0,0.5941
59,25.9401,33281.5,0.5962
60,25.9385,33913.0,0.6577
61,25.9365,34058.0,0.7176
62,25.9376,34623.5,0.5467
63,25.9382,34568.0,0.623
64,25.9367,34316.5,0.5908
65,18.5782,26351.0,0.6422
66,18.5774,28988.0,0.6939
