ID,AverageMass,AreaInSquaredPixels,Roundness
1,4.8566,19512.5,0.8571
2,4.8568,19716.0,0.8673
3,4.8654,19595.5,0.8522
4,4.8691,19770.5,0.8534
5,4.8689,19784.0,0.8649
6,4.8591,24356.0,0.7994
7,4.8404,24210.0,0.7965
8,4.8484,22636.0,0.782
9,4.8533,23844.5,0.7846
10,4.8607,22978.5,0.7941
11,5.3319,21268.5,0.8428
12,5.3296,20969.0,0.843
13,5.3455,21293.5,0.867
14,5.3238,21202.0,0.8513
15,5.3381,25252.5,0.7873
16,5.3361,26909.5,0.8035
17,5.3594,24318.5,0.8051
18,5.3643,25076.5,0.7916
19,7.0003,24388.0,0.8568
20,6.9895,24348.0,0.8479
21,6.9924,24439.5,0.8571
22,6.9847,24293.0,0.8377
23,6.983,24256.5,0.862
24,6.9821,31607.5,0.7817
25,6.9839,29333.0,0.7835
26,6.9841,31898.0,0.7786
27,6.9815,29595.5,0.798
28,5.8793,21365.0,0.8509
29,5.8731,21251.5,0.8465
30,5.8879,22200.5,0.8612
31,5.8797,21418.5,0.8446
32,5.8775,21466.5,0.8586
33,5.5909,20522.0,0.8605
34,5.5964,20406.0,0.8522
35,5.5926,20247.0,0.8415
36,5.5867,20298.0,0.8601
37,5.5852,20603.0,0.8693
38,5.5874,26132.5,0.806
39,5.587,26862.0,0.7937
40,5.5944,25805.0,0.7669
41,5.5903,25364.0,0.7967
42,5.5967,27536.5,0.818
43,5.4506,22778.0,0.8566
44,5.4509,22877.5,0.8223
45,5.4409,21354.5,0.8485
46,5.4456,22399.5,0.8305
47,5.4494,21306.0,0.8573
48,5.4475,25044.5,0.7626
49,5.4349,25363.5,0.7849
50,5.4505,26081.0,0.7699
51,5.4493,26615.5,0.772
52,4.9155,19308.5,0.8707
53,4.9142,18767.0,0.8706
54,4.9142,18522.0,0.8603
55,4.9138,18743.0,0.8678
56,4.9138,24110.0,0.8153
57,4.9129,24364.5,0.7969
58,4.9141,23551.5,0.7952
59,4.9128,23619.5,0.7667
60,4.9944,18932.5,0.8549
61,4.9945,19282.0,0.8678
62,4.9941,19350.0,0.8713
63,4.9948,19358.5,0.8686
64,4.995,23426.0,0.7867
65,4.9944,24851.0,0.7801
66,4.9932,24608.5,0.7922
67,4.9941,23865.0,0.8121
68,5.44,19908.0,0.8482
69,5.4393,20117.0,0.8355
70,5.4393,20122.0,0.8458
71,5.4394,20034.0,0.8498
72,5.4397,19995.0,0.8426
73,5.4401,27587.5,0.7453
74,5.4396,25735.0,0.7953
75,5.4391,27380.0,0.7352
76,5.4397,26907.5,0.7567
77,3.9197,16283.5,0.8567
78,3.919,16438.5,0.844
79,3.9184,16727.5,0.8536
80,3.9171,16608.0,0.8576
81,3.9169,16256.5,0.8725
82,3.9181,16061.5,0.8674
83,3.918,16286.5,0.8545
84,3.9173,16497.5,0.8351
85,3.9176,19571.5,0.7595
86,3.9172,19300.5,0.741
87,3.9168,19608.5,0.7743
88,3.9163,19548.0,0.7664
89,3.9152,19508.5,0.7551
90,3.9162,19581.5,0.7704
91,3.9164,19327.0,0.7658
92,3.915,20472.5,0.8028
93,3.9142,19777.0,0.8112
94,3.9149,19488.0,0.8092
95,3.9147,20321.0,0.8143
96,5.0155,19947.5,0.8613
97,5.0157,20220.5,0.8503
98,5.015,20373.5,0.8677
99,5.0159,19539.0,0.8606
100,5.0149,19385.5,0.8495
101,5.0151,19287.5,0.8693
102,5.0153,19636.0,0.8423
103,5.0142,25160.0,0.7877
104,5.0151,25177.0,0.7833
105,5.0151,25161.0,0.7849
106,5.0143,24911.5,0.765
107,5.0146,24945.5,0.7991
108,5.0129,24198.0,0.7737
109,5.0138,24132.0,0.7774
110,5.0136,24320.0,0.7803
111,5.0136,24035.5,0.7876
112,5.0123,26047.0,0.8104
113,5.0111,25379.0,0.8065
114,5.0121,25049.0,0.8134
115,5.0094,24654.0,0.8133
116,5.0101,24793.5,0.8058
117,5.0102,23288.5,0.8102
118,5.0104,25417.0,0.7793
119,5.0039,24982.5,0.7639
120,5.0023,24299.5,0.7607
121,5.0022,24544.0,0.7638
122,5.0012,24357.0,0.7793
123,5.0005,23936.0,0.7595
124,5.0003,23906.5,0.7506
125,4.9989,25871.0,0.7901
126,5.5468,21479.5,0.8547
127,5.5465,21414.5,0.855
128,5.5472,21071.5,0.8586
129,5.547,21098.0,0.8513
130,5.5462,21102.5,0.8391
131,5.5456,21365.5,0.8571
132,5.5451,21486.5,0.8495
133,5.5457,27204.5,0.8121
134,5.5451,27064.5,0.807
135,5.5438,27089.5,0.8278
136,5.5442,27340.5,0.8052
137,5.5417,26945.0,0.8247
138,5.5442,27157.5,0.8095
139,5.5442,24316.5,0.7365
140,5.5442,27427.0,0.799
141,5.5445,27019.5,0.8276
142,5.5435,26830.0,0.8038
143,5.516,26917.0,0.8153
144,5.542,27035.0,0.8198
145,4.6638,25704.0,0.7964
146,4.6643,25818.5,0.8018
147,4.6634,24079.5,0.7522
148,4.6628,22150.5,0.7917
149,4.6634,26269.5,0.7855
150,4.6623,26297.5,0.7781
151,4.6623,23568.0,0.7643
152,5.4823,21231.0,0.8706
153,5.4827,21525.0,0.8627
154,5.4814,21990.0,0.8588
155,5.4811,21723.5,0.874
156,5.4818,21669.0,0.8774
157,5.4823,25486.5,0.8179
158,5.4812,25635.5,0.8105
159,5.4772,26047.0,0.8058
160,5.4766,25380.5,0.8166
161,5.4763,25012.5,0.8271
162,5.4772,25190.0,0.8108
163,5.4964,21089.0,0.8335
164,5.4984,20732.0,0.8465
165,5.4969,20793.5,0.8337
166,5.4988,20725.5,0.8474
167,5.498,27262.5,0.7627
168,5.4983,27131.5,0.7639
169,5.4948,21029.0,0.8608
170,5.495,20905.5,0.8488
171,5.4946,20830.5,0.8383
172,5.4933,20948.5,0.851
173,5.4892,20896.0,0.8365
174,5.4924,23821.5,0.7993
175,5.4931,24934.5,0.7918
176,5.4903,27254.0,0.7796
177,5.4883,27056.5,0.7565
178,5.4899,26932.5,0.7546
179,5.4885,26826.5,0.7301
180,5.4883,26837.0,0.7472
181,5.4875,26813.5,0.7651
182,5.4872,26722.5,0.7763
183,5.4881,24239.0,0.7946
184,5.487,27643.0,0.7749
185,5.6244,22175.5,0.8757
186,5.6269,21968.0,0.8586
187,5.6265,21949.0,0.8508
188,5.6259,28114.5,0.828
189,5.6236,27586.0,0.8362
190,5.6244,27801.0,0.827
191,5.6233,27702.0,0.826
192,5.6232,27704.5,0.8097
193,5.6203,27742.5,0.8215
194,5.6215,27841.5,0.8232
195,5.6211,27948.5,0.8294
196,5.6186,27582.0,0.8391
197,5.6191,27024.0,0.796
198,5.6198,26683.5,0.7947
199,5.3548,19473.5,0.8623
200,5.353,19516.5,0.8422
201,5.3539,19395.5,0.8551
202,5.3545,19577.0,0.8456
203,5.3547,19449.0,0.842
204,5.3531,19286.0,0.841
205,5.3551,19537.5,0.8453
206,5.3537,27512.0,0.7809
207,5.355,25593.0,0.761
208,5.3547,25863.5,0.7688
209,5.3528,26141.5,0.7715
210,5.3535,25718.5,0.7688
211,5.3535,25184.5,0.7518
212,5.3536,24912.5,0.771
213,5.3527,25344.5,0.773
214,5.3494,25664.0,0.7538
215,5.3489,25678.0,0.7699
216,5.3487,25459.5,0.7658
217,5.3475,25776.0,0.7727
218,4.8107,23418.5,0.7668
219,4.8118,19325.0,0.8538
220,4.8113,19473.0,0.8358
221,4.8112,19345.5,0.8404
222,4.8108,19624.0,0.8259
223,4.8101,19624.0,0.8648
224,4.8088,22980.0,0.7766
225,4.8103,22982.5,0.7748
226,4.8098,22847.0,0.7915
227,4.8105,23852.5,0.7986
228,4.8095,23613.5,0.7571
229,4.8092,23413.5,0.7609
230,4.8066,23079.0,0.7636
231,4.8093,23234.5,0.7619
232,4.8088,23509.5,0.7485
233,4.806,23345.0,0.7647
234,4.808,23081.0,0.7697
235,4.6951,24215.0,0.7753
236,4.6947,24157.5,0.7804
237,4.6949,24243.0,0.7966
238,4.6935,24162.0,0.778
239,4.6948,24552.0,0.7864
240,4.6925,24305.5,0.776
241,4.6944,24153.5,0.7905
242,4.6945,24063.5,0.7611
243,4.6939,24337.0,0.767
244,4.6923,24084.5,0.7604
245,5.8265,29499.5,0.7594
246,5.825,29273.0,0.7541
247,5.8247,29331.5,0.76
248,5.8267,29086.5,0.7541
249,5.8279,29303.0,0.7773
250,5.8272,28942.5,0.7754
251,5.8271,28451.0,0.791
252,5.8266,21586.5,0.8589
253,5.8266,21736.5,0.8643
254,5.8253,21777.5,0.8537
255,5.5003,28415.0,0.7794
256,5.5004,28583.0,0.7592
257,5.4969,28533.5,0.764
258,5.4978,27702.5,0.7854
259,5.497,20476.0,0.8402
260,5.4966,20111.5,0.8375
261,5.4954,20053.5,0.8422
262,4.8996,18540.5,0.8756
263,4.8976,18400.0,0.8569
264,4.9005,18482.0,0.8569
265,4.9,18598.5,0.8603
266,4.9013,18760.0,0.8588
267,4.8997,24652.0,0.8184
268,4.8998,24889.0,0.8126
269,4.8982,24821.5,0.8175
270,4.8991,24355.0,0.8071
271,4.899,24351.5,0.81
272,4.8985,23889.5,0.7757
273,4.9007,23928.5,0.7779
274,5.1209,19193.0,0.8575
275,5.1205,19329.5,0.857
276,5.1196,19424.0,0.8507
277,5.1183,19564.5,0.8659
278,5.1191,19676.5,0.8496
279,5.1174,19600.5,0.8437
280,5.1177,19452.0,0.8452
281,5.1165,26511.5,0.7834
282,5.1164,26600.0,0.7879
283,5.1151,26791.0,0.7788
284,5.1148,26407.0,0.7841
285,5.1139,26326.5,0.7906
286,5.1129,25989.5,0.8108
287,5.1132,25707.0,0.7902
288,5.1127,25809.5,0.7858
