ID,AverageMass,meanB,meanG,meanR,meangray
1,4.8566,33.46452997853327,48.61394838001098,158.10788278168837,0.0
2,4.8568,29.128492739108662,42.5349023535303,151.31417125688532,0.0
3,4.8654,31.309586409141467,45.55435332187279,155.6205885327131,0.0
4,4.8691,33.61835187057634,48.4247724974722,159.1993933265925,0.0
5,4.8689,30.966369930761623,46.17908011869436,154.48333333333332,0.0
6,4.8591,32.62881100663491,43.245410510033786,150.16330850327674,0.0
7,4.8404,31.54713357577739,42.962080660319536,151.7309688227843,0.0
8,4.8484,33.822197705207415,49.24682259488085,163.93715798764342,0.0
9,4.8533,32.396907004483204,48.30551556780323,168.13363221321927,0.0
10,4.8607,32.24931696951299,43.54815907021119,151.50023851858276,0.0
11,5.3319,36.87930717633006,49.95750252687678,144.16043370394192,0.0
12,5.3296,36.711375450756336,50.191869994848496,145.42420268814686,0.0
13,5.3455,35.57599814298978,47.83672237697307,140.96462395543173,0.0
14,5.3238,36.13185011709602,48.72093676814988,143.22295081967212,0.0
15,5.3381,34.33388358291082,47.27819046496089,157.96431238454585,0.0
16,5.3361,33.882977150040674,45.9359609554093,157.9842860312061,0.0
17,5.3594,36.582049618939514,45.99351386411546,146.68400356737473,0.0
18,5.3643,32.497837030045616,42.10051911278905,143.18393109957526,0.0
19,7.0003,34.28196962273395,49.27012902172138,157.56957373836354,0.0
20,6.9895,34.776511437908496,50.163480392156856,160.42691993464052,0.0
21,6.9924,33.504791683586454,48.536018841874444,157.23174693413466,0.0
22,6.9847,35.27105722048745,51.180745366803194,160.4029360476905,0.0
23,6.983,34.25606633337398,49.62801284396212,157.88025850506037,0.0
24,6.9821,33.70492515992795,46.42193031488727,163.50531022917832,0.0
25,6.9839,32.989751344086024,45.592540322580646,158.92086693548387,0.0
26,6.9841,31.521401869158876,42.5991277258567,156.97844236760125,0.0
27,6.9815,34.07503221330161,46.389632272772324,158.83724848845276,0.0
28,5.8793,29.280543817747567,38.88618408965644,138.72772368179315,0.0
29,5.8731,30.73207793418477,40.61797333830521,140.2796681271558,0.0
30,5.8879,29.09072607703664,38.24104147094349,138.37453585648458,0.0
31,5.8797,32.036033532490386,41.060905006715764,140.971145384651,0.0
32,5.8775,29.95016656779081,39.41322502624013,136.67001323415323,0.0
33,5.5909,35.42148681512565,48.21071956511373,149.60469219398215,0.0
34,5.5964,34.9603490434866,48.36544085918397,150.23095363666874,0.0
35,5.5926,38.563332361232625,52.46466413920482,158.38845144356955,0.0
36,5.5867,35.99802571387297,49.259113015842445,151.15625752395627,0.0
37,5.5852,35.299473109602694,48.04946124270186,147.96064935681397,0.0
38,5.5874,33.71032821439326,46.480954531767544,160.24661246612467,0.0
39,5.587,32.60883941364488,42.406370549983464,152.09394173187846,0.0
40,5.5944,33.00669591318402,44.07226968367582,156.90768105903177,0.0
41,5.5903,33.86299352938897,48.62160486651943,165.94052462319345,0.0
42,5.5967,34.380010824463284,47.88605448313188,164.13498105718924,0.0
43,5.4506,33.55115754790601,44.043700684990895,150.30395387149917,0.0
44,5.4509,35.05563011385774,45.992943417463955,152.55972120005194,0.0
45,5.4409,33.96322233559039,43.33883684259345,143.59553844726835,0.0
46,5.4456,30.197914355447086,39.18446860439317,136.6813401375638,0.0
47,5.4494,33.43615095390614,44.0326324095994,145.59731699391912,0.0
48,5.4475,30.774073347715238,40.0442831927829,148.13041772896648,0.0
49,5.4349,33.81554077703885,44.30894878077237,152.94574728736436,0.0
50,5.4505,30.989384288747345,39.652145890203215,136.32343797391567,0.0
51,5.4493,31.37886359429946,39.29913011290024,140.13263002035904,0.0
52,4.9155,34.384905076351636,50.83543128353281,171.57738340899712,0.0
53,4.9142,37.06742575296463,53.915993283660406,174.98982054780146,0.0
54,4.9142,37.981735647530044,55.06120160213619,178.52240320427236,0.0
55,4.9138,34.15066042203863,50.12240172604326,170.6772088617587,0.0
56,4.9138,33.87933659821392,47.2828511461377,171.7294950409482,0.0
57,4.9129,36.439229550164576,50.60039010118249,177.81900930553863,0.0
58,4.9141,34.17532603681805,48.82941250471758,176.11846353839059,0.0
59,4.9128,33.7856963508537,47.386466354201545,174.47643957147642,0.0
60,4.9944,38.90971722365039,53.90349614395887,157.33398457583547,0.0
61,4.9945,35.165374146166094,48.72702994196497,148.37727903035284,0.0
62,4.9941,34.3854737269223,47.575319537431525,147.3334347737878,0.0
63,4.9948,36.187710868009404,49.9383498619773,153.16838769042022,0.0
64,4.995,31.03729663140903,39.910326664117925,143.28851790493184,0.0
65,4.9944,31.83797902460422,46.359771902540174,167.28229054512104,0.0
66,4.9932,30.218626708643846,45.87614075638624,164.23381022595942,0.0
67,4.9941,30.54519059272471,41.591604794889875,147.79343813513626,0.0
68,5.44,32.08146750732264,47.09020503400685,158.18368664052028,0.0
69,5.4393,32.217027970309196,47.875141326254735,160.82470628717496,0.0
70,5.4393,30.718707350360692,45.594219146032366,155.8202378631312,0.0
71,5.4394,31.341016316099864,46.663111853744844,159.19775899351288,0.0
72,5.4397,33.94038623005877,49.745196819281865,164.74001086580728,0.0
73,5.4401,29.35672180343682,40.67650316173056,157.00521596227358,0.0
74,5.4396,29.748943526699964,40.50026892047638,152.49008835958512,0.0
75,5.4391,30.81678100642937,43.965015624438784,167.8781652957868,0.0
76,5.4397,30.886432644597498,44.76434866326002,168.3820632452048,0.0
77,3.9197,36.722878228782285,51.232595325953255,169.12564575645754,0.0
78,3.919,37.72668440788678,52.54457481553163,171.98687552921254,0.0
79,3.9184,36.076468153054584,50.789579513868354,168.4335560943876,0.0
80,3.9171,34.44937727191466,48.08551337822537,162.72468863595734,0.0
81,3.9169,35.78193712520443,49.88569870979465,167.00314979708037,0.0
82,3.9181,36.97080068560235,51.828232125367286,169.56360186092067,0.0
83,3.918,36.56577266922094,51.011615885179104,169.36562671045428,0.0
84,3.9173,35.51190691505396,49.89666606378489,168.19581600048232,0.0
85,3.9176,33.051894188457844,45.64210206868646,168.7844823225937,0.0
86,3.9172,35.5254762509525,48.51313182626365,171.99710439420878,0.0
87,3.9168,34.058099933919586,47.02851624053271,171.0675036852539,0.0
88,3.9163,32.51211582423165,44.80411480822961,166.45836931673864,0.0
89,3.9152,33.26830377444293,45.99423980597241,168.0571471881158,0.0
90,3.9162,30.758132956152757,42.68251161850879,161.94306930693068,0.0
91,3.9164,31.0020964360587,42.95357161118781,164.64130490361507,0.0
92,3.915,35.982580582899054,48.23451071221771,169.40325226790193,0.0
93,3.9142,37.421347747019595,50.58016771064862,171.21443726005253,0.0
94,3.9149,37.17323116219668,49.84250319284802,168.86998722860793,0.0
95,3.9147,37.78565902717339,50.49850111207814,174.18257421912776,0.0
96,5.0155,36.39312148425935,50.151929339780914,169.7793841902694,0.0
97,5.0157,34.02645189892124,47.02118122259987,163.77799123195902,0.0
98,5.015,34.051924755163384,46.95539610200717,164.41156792397945,0.0
99,5.0159,33.34047000050976,46.03634602640567,163.5947392567671,0.0
100,5.0149,34.103446486037576,47.85331672376206,166.03612581750232,0.0
101,5.0151,36.54504573560223,50.598344320098114,170.377995809699,0.0
102,5.0153,35.70793263115046,49.86638172289218,170.25482114689868,0.0
103,5.0142,36.5911254474647,49.27229455961607,171.39109397742024,0.0
104,5.0151,37.356821295752596,50.264122137404584,172.95153650420826,0.0
105,5.0151,37.54338810641627,50.26154147104851,172.63302034428793,0.0
106,5.0143,35.88194609121808,48.322543672436964,169.84198877559086,0.0
107,5.0146,35.7235352532274,48.080357497517376,169.8001588877855,0.0
108,5.0129,35.41887653264899,47.98040653387103,169.2149578394232,0.0
109,5.0138,36.96197547069199,50.00324049386767,173.02727757496206,0.0
110,5.0136,35.163107585926376,47.48867195444377,168.0992475086435,0.0
111,5.0136,35.11626851508025,47.0404753063498,166.60510789289103,0.0
112,5.0123,35.873536389377826,48.16824825897299,172.14976658758707,0.0
113,5.0111,36.98456294322768,49.72542412725777,173.9129804490068,0.0
114,5.0121,37.64561907039783,50.45977836243323,176.1946902654867,0.0
115,5.0094,36.273257920373574,48.667042389597846,172.4118191699207,0.0
116,5.0101,37.791033954968384,50.61070608611592,176.71861280058002,0.0
117,5.0102,34.733234358430536,46.47185577942736,165.4627359490986,0.0
118,5.0104,35.02331413345872,47.47670545825007,170.0584616590259,0.0
119,5.0039,36.921759704844405,49.95544594161052,175.1510266281681,0.0
120,5.0023,39.14756703887848,52.37423587904475,177.9652783437933,0.0
121,5.0022,33.21705237515225,45.18392204628501,164.93341453511977,0.0
122,5.0012,38.53657335194155,51.369715130120674,177.50759379361298,0.0
123,5.0005,35.99197186012828,48.52141527001862,172.20078626112146,0.0
124,5.0003,37.79288052712279,50.47436906883262,174.35510339397456,0.0
125,4.9989,38.407700625627555,50.63798563373754,179.07658144743957,0.0
126,5.5468,40.769551326573136,56.508450247719594,174.04764550632032,0.0
127,5.5465,40.29513343799058,55.88909409917814,173.17748637916705,0.0
128,5.5472,41.13997572135587,56.52708002614623,174.57475021010364,0.0
129,5.547,41.22605274251721,56.39842615579184,173.26760035598855,0.0
130,5.5462,42.00921144452199,57.664852291230524,174.47420330309376,0.0
131,5.5456,40.32571138211382,55.75942350332594,172.02582224685884,0.0
132,5.5451,41.10560691780507,56.75419713904604,173.91499931005936,0.0
133,5.5457,36.07652742569528,49.564862779675956,173.02336603108122,0.0
134,5.5451,38.44072052401747,52.41240902474527,176.83202328966522,0.0
135,5.5438,37.07416982231284,50.59616224876201,173.34426886105445,0.0
136,5.5442,37.52909650552236,51.115697990222706,174.553865652725,0.0
137,5.5417,35.514677961150866,48.53337227983058,170.9368701621148,0.0
138,5.5442,36.47207785027093,49.70157396144347,173.66010542224188,0.0
