ID,AverageMass,AreaInSquaredPixels,Roundness,stddev,skewness,kurtosis
1,4.8566,19803.5,0.9648,26.66677926602632,5.089808761882429,25.969779461466327
2,4.8568,19730.5,0.9641,25.270613704315505,5.267122794858262,27.96644615434243
3,4.8654,19542.5,0.9617,26.037007124564433,5.27273145523396,28.217769628172057
4,4.8691,19550.0,0.9639,26.748458204499165,5.179342475133007,27.094731965460802
5,4.8689,19986.0,0.9701,26.07225899619414,5.115021236337168,26.172600509984218
6,4.8591,24299.5,0.8663,27.964042177622876,4.641593016709061,21.531924611014155
7,4.8404,24207.5,0.8921,28.019692671671052,4.628491240842234,21.156327128658834
8,4.8484,22393.0,0.8668,29.224020647451432,4.7878543878561155,22.801486638849852
9,4.8533,24043.0,0.8922,30.84597743178046,4.678088822176726,21.593894914945558
10,4.8607,22789.0,0.8725,27.36652994531369,4.821805672445822,23.337417542807373
11,5.3319,21537.0,0.9636,25.989949227432884,4.760955509993055,23.09194739410178
12,5.3296,21107.5,0.9599,25.98205357215569,4.8757886514614075,24.509186215034386
13,5.3455,21300.5,0.966,25.1089521591527,4.764839726567086,22.97040130441623
14,5.3238,21111.5,0.9651,25.394860553986348,4.768499786277564,22.947751232825386
15,5.3381,25170.5,0.8646,29.688994411134054,4.456904570181779,19.53893873082225
16,5.3361,26772.0,0.8792,30.654724160849764,4.3890217613545515,19.047108437514204
17,5.3594,24394.0,0.8819,27.62302265525372,4.487810451404612,20.091881323460534
18,5.3643,25154.0,0.8785,27.129939616381,4.480678924943205,19.849204828074257
19,7.0003,24231.0,0.9536,29.36066146374202,4.599974588577301,21.248029810995344
20,6.9895,24220.0,0.9544,29.79630201242973,4.581912993035711,20.990415374305577
21,6.9924,24378.0,0.9638,29.234143983825934,4.576664639155578,20.88734877423498
22,6.9847,24402.5,0.9552,29.998704542133495,4.519184575344975,20.30836220481121
23,6.983,24342.5,0.9548,29.47889526338292,4.571930862090914,20.948363234564724
24,6.9821,31892.0,0.8841,34.24570740558668,3.9485693518622544,14.920053424700285
25,6.9839,29461.5,0.8793,32.16579612703586,4.141291151684651,16.61155296295793
26,6.9841,31799.5,0.8586,32.728027067201964,4.00456446735152,15.376952325124314
27,6.9815,29964.5,0.872,32.4009083299001,4.049527910519302,15.780126854686287
28,5.8793,21534.5,0.9639,24.342828436876793,5.00566656730125,25.23664567246956
29,5.8731,21212.5,0.9465,24.500074405532526,4.975213630075559,24.89763014771524
30,5.8879,22101.0,0.9677,24.565650957485346,4.945245672271744,24.587645966904415
31,5.8797,21360.0,0.9605,24.73083613470448,4.928833024646022,24.40037046674448
32,5.8775,21669.0,0.9556,24.16947212747719,4.937440447960253,24.502461929907845
33,5.5909,20734.0,0.967,26.089509886731477,4.916642932633195,24.433510682465894
34,5.5964,20621.5,0.9721,26.102034192675646,4.895816659516199,24.030848184206818
35,5.5926,20351.0,0.9661,27.434045044774347,4.898071900556726,24.14426520582794
36,5.5867,20524.5,0.9651,26.30668890279511,4.952401390279068,24.882018840807092
37,5.5852,20827.0,0.9546,25.950305714396368,4.919628103058475,24.533295694332697
38,5.5874,26286.5,0.8996,30.701248877336287,4.4174192325143915,19.213065865274142
39,5.587,26929.0,0.8893,29.391984545210224,4.364848241973212,18.644921683677435
40,5.5944,25706.5,0.8798,29.709100241050628,4.472265698266437,19.611380337250022
41,5.5903,25532.0,0.8913,31.346041184123067,4.502891297350435,20.016029875547023
42,5.5967,27438.0,0.9027,32.123463055315945,4.335799855834474,18.544103320215807
43,5.4506,22818.5,0.9554,27.113164050560677,4.77568698066381,22.854001404146977
44,5.4509,22845.0,0.9108,27.567946643618125,4.7061959371743995,22.111004066250224
45,5.4409,21316.5,0.946,25.213797095849227,4.86930723696075,23.773472424156417
46,5.4456,22283.0,0.9264,24.38213182076779,4.870053559549432,23.886457727425036
47,5.4494,21304.5,0.953,25.577734948443567,4.934470405162092,24.65131508889678
48,5.4475,25220.5,0.856,27.766555640426446,4.581437097751322,20.699679348225434
49,5.4349,25439.0,0.8672,28.91244864577314,4.4840834935699405,19.877442430325488
50,5.4505,26087.5,0.8475,26.379305225224382,4.487081928412771,20.19990150557462
51,5.4493,26725.0,0.8487,27.147520625712996,4.3707763765784655,18.75983951371539
52,4.9155,19159.5,0.9774,28.32149063172666,5.295120737007166,28.431346161134517
53,4.9142,18823.0,0.978,28.92245597429869,5.308249089140443,28.702867567385837
54,4.9142,18501.0,0.9735,29.110021760585855,5.316170420275755,28.68584780530759
55,4.9138,18776.5,0.9797,27.84701016645561,5.321068098483537,28.534850867491723
56,4.9138,24047.0,0.9125,31.386386387114335,4.669754411930125,21.44244924032343
57,4.9129,24356.0,0.8878,32.79395228924637,4.595640556540198,20.764052719840958
58,4.9141,23595.5,0.8882,31.923126453138956,4.767824971502981,22.56964872198383
59,4.9128,23639.5,0.8665,31.67817787796826,4.783530074449485,22.74401152946802
60,4.9944,19223.5,0.9606,26.769668746415647,5.058513739293546,26.095505751956342
61,4.9945,19244.0,0.9678,25.283238961953785,5.220598436236233,28.192220075541247
62,4.9941,19490.5,0.9713,25.089969275407544,5.162087467380555,27.30236842238816
63,4.9948,19333.0,0.9726,25.84638474736947,5.062138113210254,25.879503336827483
64,4.995,23280.0,0.8915,25.939334466855414,4.752329796696716,22.514471899168516
65,4.9944,24804.5,0.8538,30.958927519549473,4.617586765213142,20.963234613064703
66,4.9932,24821.0,0.8662,30.506659588532887,4.692414894603779,21.893804295200756
67,4.9941,23849.5,0.8874,27.265957220560157,4.801893354385221,23.352249551100225
68,5.44,19911.5,0.9405,26.80090880059614,5.208516702180243,27.5466332047217
69,5.4393,20113.5,0.9378,27.283951413923806,5.141983188901609,26.64284146288594
70,5.4393,20282.5,0.9393,26.480476307751356,5.096877356918079,25.984298388667256
71,5.4394,20115.0,0.9501,26.867954168104625,5.118029228803536,26.204664251869588
72,5.4397,20009.5,0.9446,27.904843753330514,5.114074247751036,26.293270366198175
73,5.4401,27698.0,0.812,30.5686355867753,4.3794901314553005,18.573301641742194
74,5.4396,25749.0,0.8792,28.84787048796785,4.58419222180957,20.78297747290637
75,5.4391,27543.5,0.8153,32.55564368929057,4.407923304509876,18.89071417912231
76,5.4397,26716.0,0.8378,32.15494187111698,4.4655655955340565,19.44021818907931
77,3.9197,16050.0,0.9455,25.790636308815788,5.721663728226014,33.375372988050856
78,3.919,16320.0,0.9476,26.42706837770065,5.662363931722395,32.7153647554748
79,3.9184,16700.5,0.9497,26.158682100345526,5.6347728213090145,32.35011198855917
80,3.9171,16572.5,0.9613,25.224408501119058,5.710549690558852,33.32750355401301
